Time,org.apache.hadoop.ipc.protobuf.RpcHeaderProtos$RpcResponseHeaderProto Data
0,68
1,344
2,235
3,277
4,291
5,68
6,371
7,348
8,301
9,237
10,292
11,88
12,351
13,354
14,186
15,358
16,346
17,250
18,214
19,354
20,243
21,366
22,420
23,384
24,29
25,93
26,93
27,421
28,98
29,113
30,390
31,382
32,345
33,344
34,98
35,502
36,254
37,126
38,57
39,118
40,467
41,89
42,491
43,349
44,369
45,219
46,328
47,55
48,416
49,389
50,164
51,65
52,435
53,148
54,233
55,468
56,266
57,342
58,101
59,74
60,399
61,109
62,88
63,287
64,557
65,470
66,98
67,311
68,242
69,393
70,599
71,499
72,215
73,94
74,277
75,354
76,221
77,329
78,364
79,221
80,345
81,316
82,149
83,254
84,234
85,233
86,655
87,644
88,377
89,314
90,292
91,542
92,602
93,217
94,204
95,353
96,307
97,121
98,390
99,328
100,143
101,449
102,333
103,625
104,220
105,690
106,548
107,94
108,559
109,648
110,284
111,678
112,423
113,735
114,395
115,228
116,385
117,93
118,538
119,758
120,436
121,683
122,161
123,582
124,235
125,588
126,722
127,308
128,722
129,109
130,415
131,767
132,230
133,702
134,274
135,450
136,756
137,350
138,455
139,755
140,305
141,393
142,753
143,251
144,341
145,47
146,285
147,352
148,643
149,795
150,307
151,442
152,490
153,723
154,103
155,288
156,49
157,246
158,487
159,442
160,629
161,844
162,786
163,103
164,272
165,242
166,366
167,550
168,57
169,153
170,298
171,239
172,384
173,480
174,355
175,491
176,628
177,487
178,631
179,721
180,238
181,368
182,394
183,245
184,346
185,385
186,269
187,265
188,107
189,110
190,169
191,862
