Time,org.apache.hadoop.mapred.JobConf Data
0,83
1,125
2,126
3,137
4,131
5,165
6,170
7,136
8,175
9,171
10,193
11,196
12,216
13,227
14,221
15,246
16,250
17,238
18,261
19,253
20,286
21,301
22,314
23,318
24,346
25,349
26,320
27,340
28,343
29,359
30,392
31,370
32,386
33,422
34,427
35,433
36,437
37,434
38,435
39,486
40,476
41,471
42,484
43,489
44,489
45,540
46,523
47,562
48,552
49,537
50,579
51,564
52,587
53,593
54,630
55,612
56,612
57,603
58,618
59,658
60,649
61,673
62,690
63,678
64,694
65,681
66,689
67,729
68,721
69,726
70,749
71,777
72,787
73,758
74,786
75,804
76,819
77,838
78,859
79,821
80,834
81,842
82,869
83,881
84,890
85,877
86,904
87,909
88,922
89,932
90,942
91,943
92,949
93,949
94,956
95,1014
96,1018
97,1001
98,1012
99,1017
100,1006
101,1066
102,1067
103,1055
104,1062
105,1053
106,1089
107,1088
108,1093
109,1115
110,1121
111,1122
112,1159
113,1150
114,1150
115,1190
116,1180
117,1221
118,1214
119,1191
120,1245
121,1242
122,1239
123,1274
124,1279
125,1302
126,1282
127,1270
128,1298
129,1294
130,1338
131,1363
132,1342
133,1366
134,1350
135,1389
136,1355
137,1394
138,1416
139,1395
140,1439
141,1404
142,1444
143,1478
144,1448
145,1481
146,1452
147,1486
148,1520
149,1492
150,1515
151,1548
152,1519
153,1534
154,1574
155,1532
156,1556
157,1540
158,1565
159,1582
160,1617
161,1651
162,1589
163,1612
164,1651
165,1663
166,1676
167,1642
168,1665
169,1653
170,1672
171,1714
172,1716
173,1733
174,1770
175,1776
176,1727
177,1744
178,1757
179,1774
180,1795
181,1771
182,1790
183,1806
184,1824
185,1834
186,1851
187,1847
188,1874
189,1887
190,1893
191,1905
192,1925
193,1901
194,1912
195,1928
196,1932
197,1934
198,1952
199,1953
200,1953
201,1966
202,1975
203,1978
204,2054
