Time,org.apache.hadoop.security.UserGroupInformation Data
0,190
1,446
2,443
3,420
4,461
5,301
6,545
7,545
8,233
9,496
10,457
11,498
12,413
13,607
14,613
15,476
16,655
17,646
18,416
19,597
20,419
21,590
22,737
23,654
24,777
25,849
26,812
27,548
28,580
29,607
30,641
31,913
32,652
33,678
34,939
35,954
36,924
37,944
38,777
39,724
40,1087
41,920
42,809
43,821
44,842
45,797
46,1147
47,907
48,1189
49,1110
50,866
51,1174
52,1044
53,1147
54,987
55,1283
56,1204
57,1032
58,964
59,1016
60,1325
61,1090
62,1172
63,1402
64,1235
65,1305
66,1125
67,1138
68,1382
69,1176
70,1206
71,1353
72,1555
73,1550
74,1196
75,1432
76,1380
77,1543
78,1701
79,1678
80,1296
81,1441
82,1383
83,1523
84,1605
85,1496
86,1563
87,1639
88,1516
89,1649
90,1646
91,1569
92,1607
93,1600
94,1620
95,1490
96,1989
97,2007
98,1783
99,1772
100,1771
101,1568
102,1966
103,2050
104,1742
105,1822
106,1643
107,1906
108,1881
109,1733
110,1958
111,1943
112,1791
113,2078
114,1988
115,1807
116,2246
117,1938
118,2338
119,2222
120,1905
121,2249
122,2321
123,2074
124,2401
125,2251
126,2481
127,2234
128,2099
129,2247
130,2062
131,2383
132,2588
133,2351
134,2528
135,2189
136,2494
137,2228
138,2529
139,2660
140,2342
141,2688
142,2234
143,2492
144,2782
145,2343
146,2709
147,2415
148,2578
149,2828
150,2523
151,2622
152,2867
153,2534
154,2615
155,2919
156,2517
157,2600
158,2389
159,2588
160,2643
161,2874
162,3055
163,2441
164,2665
165,2822
166,2856
167,3048
168,2543
169,2750
170,2561
171,2719
172,2917
173,2914
174,3061
175,3238
176,3237
177,2673
178,2851
179,2800
180,2946
181,3081
182,2740
183,2801
184,2963
185,2915
186,3066
187,3127
188,3061
189,3156
190,3293
191,3223
192,3319
193,3426
194,3026
195,3169
196,3212
197,3082
198,3185
199,3239
200,3137
201,3152
202,3058
203,3093
204,3109
205,3696
