Time,org.apache.log4j.Logger Data
0,294
1,234
2,187
3,298
4,234
5,187
6,298
7,234
8,187
9,298
10,234
11,187
12,298
13,234
14,187
15,298
16,234
17,187
18,298
19,234
20,187
21,298
22,234
23,187
24,298
25,234
26,187
27,298
28,234
29,187
30,298
31,234
32,187
33,298
34,234
35,187
36,298
37,234
38,187
39,298
40,234
41,187
42,298
43,234
44,187
45,298
46,234
47,187
48,298
49,234
50,187
51,298
52,234
53,187
54,298
55,234
56,187
57,298
58,234
59,187
60,298
61,234
62,187
63,298
64,234
65,189
66,298
67,234
68,189
69,298
70,234
71,189
72,298
73,234
74,189
75,298
76,234
77,189
78,298
79,234
80,189
81,298
82,234
83,189
84,298
85,234
86,189
87,298
88,234
89,189
90,298
91,234
92,189
93,298
94,234
95,189
96,298
97,234
98,189
99,298
100,234
101,189
102,298
103,234
104,189
105,298
106,234
107,189
108,298
109,234
110,189
111,298
112,234
113,189
114,298
115,234
116,189
117,298
118,234
119,189
120,298
121,234
122,189
123,298
124,234
125,189
126,298
127,234
128,189
129,298
130,234
131,189
132,298
133,234
134,189
135,298
136,234
137,189
138,298
139,234
140,189
141,298
142,234
143,189
144,298
145,234
146,189
147,298
148,234
149,189
150,298
151,234
152,189
153,298
154,234
155,189
156,298
157,234
158,189
159,298
160,234
161,189
162,298
163,234
164,189
165,298
166,234
167,189
168,298
169,234
170,189
171,298
172,234
173,189
174,298
175,234
176,189
177,298
178,234
179,189
180,298
181,234
182,189
183,298
184,234
185,189
186,298
187,234
188,189
189,298
190,234
191,189
192,298
193,234
194,189
195,298
196,234
197,189
198,298
199,234
200,189
201,298
202,234
203,189
204,298
205,234
206,189
207,298
208,234
209,189
210,298
211,234
212,189
213,298
214,234
215,189
216,298
217,234
218,189
219,298
220,234
221,189
222,298
223,234
224,189
225,298
226,234
227,189
228,298
229,234
230,189
231,298
232,234
233,189
234,298
235,234
236,189
237,298
238,234
239,189
240,298
241,234
242,189
243,298
244,234
245,189
246,298
247,234
248,189
249,298
250,234
251,189
252,298
253,234
254,189
255,298
256,234
257,189
258,298
259,234
260,189
261,298
262,234
263,189
264,298
265,234
266,189
267,298
268,234
269,189
270,298
271,234
272,189
273,298
274,234
275,189
276,298
277,234
278,189
279,298
280,234
281,189
282,298
283,234
284,189
285,298
286,234
287,189
288,298
289,234
290,189
291,298
292,234
293,189
294,298
295,234
296,189
297,298
298,234
299,189
300,298
301,234
302,189
303,298
304,234
305,189
306,298
307,234
308,189
309,298
310,234
311,189
312,298
313,234
314,189
315,298
316,234
317,189
318,298
319,234
320,189
321,298
322,234
323,189
324,298
325,234
326,189
327,298
328,234
329,189
330,298
331,234
332,189
333,298
334,234
335,189
336,298
337,234
338,189
339,298
340,234
341,189
342,298
343,234
344,189
345,298
346,234
347,189
348,298
349,234
350,189
351,298
352,234
353,189
354,298
355,234
356,189
357,298
358,234
359,189
360,298
361,234
362,189
363,298
364,234
365,189
366,298
367,234
368,189
369,298
370,234
371,189
372,298
373,234
374,189
375,298
376,234
377,189
378,298
379,234
380,189
381,298
382,234
383,189
384,298
385,234
386,189
387,298
388,234
389,189
390,298
391,234
392,189
393,298
394,234
395,189
396,298
397,234
398,189
399,298
400,234
401,189
402,298
403,234
404,189
405,298
406,234
407,189
408,298
409,234
410,189
411,298
412,234
413,189
414,298
415,234
416,189
417,298
418,234
419,189
420,298
421,234
422,189
423,298
424,234
425,189
426,298
427,234
428,189
429,298
430,234
431,189
432,298
433,234
434,189
435,298
436,234
437,189
438,298
439,234
440,189
441,298
442,234
443,189
444,298
445,234
446,189
447,298
448,234
449,189
450,298
451,234
452,189
453,298
454,234
455,189
456,298
457,234
458,189
459,298
460,234
461,189
462,298
463,234
464,189
465,298
466,234
467,189
468,298
469,234
470,189
471,298
472,234
473,189
474,298
475,234
476,189
477,298
478,234
479,189
480,298
481,234
482,189
483,298
484,234
485,189
486,298
487,234
488,298
489,234
490,189
491,298
492,234
493,189
494,298
495,234
496,189
497,298
498,234
499,189
500,298
501,234
502,189
503,298
504,234
505,189
506,298
507,234
508,189
509,298
510,234
511,189
512,298
513,234
514,189
515,298
516,234
517,189
518,298
519,234
520,189
521,298
522,234
523,189
524,298
525,234
526,298
527,234
528,298
529,234
530,189
531,298
532,234
533,189
534,298
535,234
536,189
537,298
538,234
539,189
540,298
541,234
542,189
543,298
544,234
545,189
546,298
547,234
548,189
549,298
550,234
551,189
552,298
553,234
554,189
555,298
556,234
557,189
558,298
559,234
560,189
561,298
562,234
563,189
564,298
565,234
566,189
567,298
568,234
569,189
570,298
571,234
572,189
573,298
574,234
575,189
576,298
577,234
578,189
579,298
580,234
581,189
582,298
583,234
584,189
585,298
586,234
587,189
588,298
589,234
590,189
591,298
592,234
593,189
594,298
595,234
596,189
597,298
598,234
599,189
600,298
601,234
602,189
603,298
604,234
605,189
606,298
607,234
608,189
609,298
610,234
611,189
612,298
613,234
