Time,org.apache.log4j.ProvisionNode Data
0,127
1,115
2,111
3,129
4,115
5,111
6,129
7,115
8,111
9,129
10,129
11,115
12,129
13,115
14,129
15,115
16,111
17,129
18,115
19,111
20,129
21,116
22,111
23,129
24,116
25,111
26,129
27,116
28,111
29,129
30,116
31,111
32,129
33,116
34,111
35,129
36,116
37,111
38,129
39,116
40,111
41,129
42,116
43,111
44,129
45,116
46,111
47,129
48,116
49,111
50,129
51,116
52,111
53,129
54,116
55,111
56,129
57,116
58,129
59,116
60,111
61,129
62,129
63,129
64,116
65,111
66,129
67,116
68,111
69,129
70,129
71,116
72,111
73,129
74,116
75,111
76,129
77,116
78,111
79,129
80,116
81,111
82,129
83,116
84,111
85,129
86,116
87,111
88,129
89,129
90,116
91,111
92,129
93,116
94,129
95,116
96,111
97,129
98,116
99,111
100,129
101,116
102,111
103,129
104,129
105,129
106,116
107,129
108,116
109,111
110,129
111,129
112,116
113,111
114,129
115,129
116,116
117,111
118,129
119,116
120,111
121,129
122,116
123,111
124,129
125,116
126,111
127,129
128,116
129,111
130,129
131,116
132,111
133,129
134,116
135,111
136,129
137,129
138,116
139,111
140,129
141,116
142,111
