Time,org.apache.log4j.spi.LocationInfo Data
0,175
1,706
2,433
3,637
4,578
5,84
6,793
7,625
8,724
9,516
10,559
11,246
12,705
13,726
14,248
15,660
16,701
17,136
18,512
19,83
20,335
21,711
22,452
23,743
24,969
25,809
26,216
27,219
28,909
29,212
30,200
31,741
32,786
33,751
34,547
35,188
36,127
37,860
38,342
39,333
40,99
41,320
42,805
43,224
44,992
45,615
46,793
47,434
48,604
49,282
50,980
51,826
52,482
53,827
54,200
55,411
56,896
57,410
58,600
59,947
60,88
61,648
62,1016
63,861
64,206
65,504
66,526
67,798
68,1165
69,1045
70,98
71,343
72,123
73,434
74,626
75,384
76,622
77,626
78,450
79,638
80,745
81,387
82,387
83,495
84,360
85,1348
86,1251
87,752
88,715
89,581
90,1255
91,1056
92,431
93,271
94,88
95,689
96,541
97,216
98,792
99,555
100,219
101,916
102,604
103,250
104,1192
105,344
106,1528
107,909
108,109
109,1227
110,1296
111,377
112,1472
113,900
114,1438
115,814
116,435
117,756
118,186
119,1038
120,1512
121,827
122,1496
123,358
124,1108
125,469
126,1096
127,1467
128,704
129,1368
130,217
131,1006
132,1612
133,384
134,1530
135,476
136,868
137,1577
138,704
139,875
140,1577
141,681
142,798
143,1506
144,547
145,629
146,625
147,693
148,1237
149,1735
150,549
151,1002
152,957
153,1470
154,199
155,547
156,574
157,838
158,834
159,1355
160,1574
161,1585
162,199
163,487
164,484
165,752
166,1092
167,84
168,260
169,615
170,452
171,784
172,914
173,716
174,990
175,1229
176,999
177,1301
178,1455
179,560
180,743
181,871
182,547
183,675
184,783
185,449
186,615
187,172
188,281
189,252
190,1729
