Time,org.apache.tomcat.util.http.ValuesEnumerator Data
0,154
1,218
2,234
3,193
4,178
5,298
6,234
7,241
8,191
9,218
10,273
11,250
12,207
13,187
14,234
15,274
16,242
17,396
18,339
19,184
20,370
21,112
22,314
23,282
24,266
25,186
26,112
27,373
28,210
29,160
30,314
31,362
32,202
33,298
34,191
35,146
36,372
37,314
38,187
39,314
40,130
41,242
42,370
43,161
44,207
45,330
46,193
47,313
48,362
49,227
50,306
51,329
52,442
53,203
54,234
55,242
56,160
57,234
58,201
59,241
60,250
61,209
62,137
63,161
64,475
65,404
66,266
67,234
68,178
69,485
70,363
71,185
72,138
73,273
74,143
75,298
76,209
77,394
78,225
79,122
80,379
81,210
82,524
83,339
84,469
85,434
86,226
87,492
88,380
89,555
90,330
91,274
92,412
93,603
94,314
95,516
96,219
97,442
98,321
99,466
100,218
101,484
102,120
103,370
104,586
105,242
106,532
107,346
108,580
109,218
110,362
111,580
112,218
113,306
114,540
115,207
116,162
117,207
118,425
119,612
120,143
121,396
122,428
123,466
124,186
125,348
126,330
127,377
128,564
129,588
130,169
131,266
132,329
133,146
134,194
135,274
136,274
137,314
138,250
139,362
140,427
141,410
142,425
143,484
144,243
145,242
146,290
147,251
148,202
149,282
150,185
151,144
152,146
153,128
154,676
