Time,org.codehaus.groovy.reflection.GeneratedMetaMethod$Proxy Data
0,1058
1,1058
2,1058
3,1058
4,1058
5,1058
6,1058
7,1058
8,1058
9,1058
10,1058
11,1058
12,1058
13,1058
14,1058
15,1058
16,1058
17,1058
18,1058
19,1058
20,1058
21,1058
22,1058
23,1058
24,1058
25,1058
26,1058
27,1058
28,1058
29,1058
30,1058
31,1058
32,1058
33,1058
34,1058
35,1058
36,1058
37,1058
38,1058
39,1058
40,1058
41,1058
42,1058
43,1058
44,1058
45,1058
46,1058
47,1058
48,1058
49,1058
50,1058
51,1058
52,1058
53,1058
54,1058
55,1058
56,1058
57,1058
58,1058
59,1058
60,1058
61,1058
62,1058
63,1058
64,1058
65,1058
66,1058
67,1058
68,1058
69,1058
70,1058
71,1058
72,1058
73,1058
74,1058
75,1058
76,1058
77,1058
78,1058
79,1058
80,1058
81,1058
82,1058
83,1058
84,1058
85,1058
86,1058
87,1058
88,1058
89,1058
90,1058
91,1058
92,1058
93,1058
94,1058
95,1058
96,1058
97,1058
98,1058
99,1058
100,1058
101,1058
102,1058
103,1058
104,1058
105,1058
106,1058
107,1058
108,1058
109,1058
110,1058
111,1058
112,1058
113,1058
114,1058
115,1058
116,1058
117,1058
118,1058
119,1058
120,1058
121,1058
122,1058
123,1058
124,1058
125,1058
126,1058
127,1058
128,1058
129,1058
130,1058
131,1058
132,1058
133,1058
134,1058
135,1058
136,1058
137,1058
138,1058
139,1058
140,1058
141,1058
142,1058
143,1058
144,1058
145,1058
146,1058
147,1058
148,1058
149,1058
150,1058
151,1058
152,1058
153,1058
154,1058
155,1058
156,1058
157,1058
158,1058
159,1058
160,1058
161,1058
162,1058
163,1058
164,1058
165,1058
166,1058
167,1058
168,1058
169,1058
170,1058
171,1058
172,1058
173,1058
174,1058
175,1058
176,1058
177,1058
178,1058
179,1058
180,1058
181,1058
182,1058
183,1058
184,1058
185,1058
186,1058
187,1058
188,1058
189,1058
190,1058
191,1058
192,1058
193,1058
194,1058
195,1058
196,1058
197,1058
198,1058
199,1058
200,1058
201,1058
202,1058
203,1058
204,1058
205,1058
