Time,org.codehaus.jackson.map.introspect.AnnotatedClass Data
0,178
1,250
2,243
3,236
4,211
5,57
6,315
7,263
8,275
9,77
10,180
11,70
12,250
13,301
14,101
15,276
16,194
17,57
18,197
19,57
20,210
21,263
22,287
23,263
24,449
25,409
26,61
27,148
28,367
29,96
30,62
31,327
32,302
33,289
34,221
35,96
36,427
37,235
38,76
39,143
40,137
41,333
42,70
43,371
44,237
45,315
46,76
47,180
48,178
49,423
50,328
51,210
52,328
53,170
54,260
55,367
56,210
57,193
58,341
59,115
60,57
61,236
62,345
63,367
64,74
65,128
66,236
67,315
68,360
69,432
70,44
71,76
72,70
73,223
74,263
75,261
76,142
77,263
78,167
79,275
80,276
81,165
82,115
83,210
84,44
85,533
86,469
87,289
88,263
89,211
90,520
91,360
92,154
93,165
94,301
95,141
96,143
97,315
98,249
99,157
100,393
101,262
102,156
103,451
104,235
105,560
106,346
107,83
108,507
109,439
110,248
111,530
112,436
113,598
114,341
115,89
116,289
117,83
118,467
119,637
120,328
121,560
122,231
123,436
124,102
125,356
126,452
127,250
128,532
129,96
130,371
131,560
132,261
133,573
134,116
135,354
136,612
137,250
138,367
139,612
140,250
141,315
142,573
143,90
144,193
145,198
146,194
147,438
148,642
149,44
150,141
151,453
152,475
153,529
154,61
155,220
156,103
157,410
158,341
159,400
160,603
161,612
162,61
163,184
164,167
165,289
166,360
167,57
168,183
169,224
170,287
171,289
172,333
173,276
174,371
175,494
176,406
177,438
178,534
179,249
180,263
181,302
182,275
183,237
184,289
185,154
186,129
187,178
188,113
189,63
190,690
