Time,org.codehaus.jackson.map.introspect.AnnotationMap Data
0,1344
1,2126
2,1848
3,2080
4,1999
5,500
6,2351
7,2171
8,365
9,140
10,2215
11,831
12,1190
13,588
14,2126
15,2305
16,640
17,2216
18,1236
19,500
20,1945
21,500
22,1711
23,2171
24,1980
25,2179
26,3419
27,3375
28,320
29,140
30,547
31,367
32,823
33,2539
34,635
35,505
36,2395
37,2306
38,2261
39,2033
40,635
41,418
42,3425
43,1800
44,551
45,1484
46,772
47,373
48,140
49,2401
50,588
51,2535
52,2081
53,365
54,140
55,2351
56,830
57,1190
58,1615
59,3329
60,2396
61,1711
62,365
63,140
64,455
65,2396
66,1575
67,1889
68,2539
69,1990
70,1235
71,320
72,418
73,2441
74,1392
75,508
76,2080
77,2724
78,2531
79,549
80,1010
81,1823
82,2359
83,2771
84,2756
85,455
86,830
87,553
88,1756
89,2171
90,1890
91,1099
92,2214
93,909
94,2258
95,2259
96,950
97,729
98,2033
99,825
100,498
101,4109
102,3885
103,2261
104,2171
105,1999
106,410
107,140
108,3742
109,2514
110,821
111,1478
112,365
113,140
114,2305
115,1055
116,1492
117,2351
118,2125
119,1530
120,2621
121,2170
122,1537
123,3792
124,1800
125,4165
126,2446
127,590
128,3697
129,3042
130,1845
131,3971
132,3466
133,4291
134,2441
135,875
136,2269
137,590
138,3561
139,4426
140,2396
141,4157
142,1796
143,2760
144,920
145,2767
146,3130
147,2126
148,4065
149,643
150,2578
151,3494
152,1890
153,4202
154,974
155,2486
156,4337
157,2126
158,2531
159,4337
160,2126
161,2359
162,4210
163,919
164,1235
165,365
166,140
167,1954
168,1236
169,3041
170,4431
171,455
172,1055
173,3515
174,3601
175,3960
176,504
177,2032
178,365
179,921
180,3376
181,2441
182,2907
183,4296
184,4345
185,504
186,1900
187,1145
188,2261
189,2771
190,500
191,1620
192,2044
193,1980
194,2269
195,2401
196,2216
197,2535
198,3931
199,2666
200,3041
201,4067
202,1876
203,2187
204,2322
205,1944
206,2089
207,2277
208,829
209,1062
210,1623
211,692
212,514
213,4615
