Time,org.codehaus.jackson.map.ser.BeanPropertyWriter Data
0,163
1,471
2,478
3,460
4,444
5,310
6,526
7,482
8,277
9,493
10,320
11,408
12,359
13,471
14,515
15,343
16,493
17,419
18,310
19,427
20,310
21,439
22,482
23,505
24,488
25,648
26,611
27,266
28,348
29,277
30,393
31,576
32,343
33,310
34,537
35,515
36,504
37,449
38,343
39,294
40,622
41,461
42,321
43,384
44,376
45,283
46,537
47,359
48,570
49,460
50,277
51,526
52,320
53,408
54,417
55,626
56,537
57,439
58,277
59,299
60,537
61,406
62,483
63,576
64,438
65,419
66,266
67,294
68,548
69,362
70,316
71,460
72,547
73,570
74,321
75,364
76,479
77,532
78,558
79,625
80,299
81,320
82,327
83,450
84,482
85,483
86,413
87,520
88,436
89,531
90,531
91,474
92,392
93,476
94,347
95,337
96,747
97,692
98,504
99,482
100,444
101,288
102,699
103,577
104,387
105,410
106,277
107,515
108,375
109,390
110,526
111,471
112,395
113,592
114,482
115,401
116,643
117,461
118,737
119,548
120,332
121,688
122,624
123,472
124,713
125,633
126,764
127,548
128,331
129,510
130,332
131,655
132,797
133,537
134,731
135,461
136,625
137,342
138,558
139,673
140,471
141,709
142,349
143,608
144,761
145,483
146,742
147,359
148,559
149,775
150,471
151,570
152,775
153,471
154,532
155,748
156,369
157,419
158,277
159,433
160,419
161,624
162,797
163,299
164,375
165,644
166,666
167,705
168,310
169,449
170,277
171,342
172,611
173,548
174,591
175,764
176,781
177,310
178,416
179,397
180,504
181,558
182,310
183,417
184,455
185,505
186,510
187,537
188,493
189,570
190,676
191,603
192,624
193,709
194,496
195,494
196,527
197,500
198,466
199,516
200,393
201,408
202,423
203,360
204,316
205,847
