Time,org.codehaus.jackson.map.type.SimpleType Data
0,413
1,830
2,827
3,802
4,756
5,434
6,965
7,857
8,353
9,66
10,883
11,471
12,686
13,508
14,830
15,937
16,520
17,884
18,714
19,434
20,66
21,721
22,434
23,66
24,745
25,857
26,906
27,864
28,1250
29,1161
30,326
31,66
32,485
33,355
34,66
35,630
36,1080
37,515
38,439
39,991
40,938
41,911
42,773
43,515
44,387
45,66
46,1193
47,798
48,467
49,608
50,598
51,360
52,66
53,997
54,508
55,1077
56,803
57,353
58,66
59,965
60,470
61,686
62,685
63,1196
64,992
65,745
66,353
67,66
68,407
69,66
70,992
71,663
72,851
73,1080
74,748
75,713
76,326
77,66
78,387
79,66
80,1019
81,552
82,441
83,802
84,1026
85,1073
86,465
87,578
88,823
89,972
90,1055
91,1208
92,407
93,66
94,470
95,468
96,772
97,857
98,852
99,653
100,904
101,703
102,930
103,931
104,748
105,595
106,795
107,487
108,454
109,66
110,1461
111,1327
112,911
113,857
114,756
115,380
116,66
117,1384
118,1076
119,629
120,665
121,353
122,66
123,937
124,605
125,615
126,965
127,829
128,636
129,1127
130,856
131,642
132,1248
133,798
134,1476
135,1024
136,488
137,1357
138,1218
139,825
140,1418
141,1216
142,1549
143,1019
144,497
145,918
146,488
147,1275
148,1630
149,992
150,1469
151,794
152,1212
153,524
154,1051
155,1292
156,830
157,1413
158,522
159,1124
160,1512
161,852
162,1496
163,559
164,1046
165,1577
166,830
167,1073
168,1577
169,830
170,972
171,1503
172,545
173,713
174,353
175,66
176,729
177,714
178,1217
179,1635
180,407
181,66
182,605
183,1247
184,1297
185,1407
186,438
187,772
188,353
189,66
190,525
191,1162
192,1019
193,1137
194,1554
195,1584
196,438
197,694
198,659
199,911
200,1055
201,434
202,66
203,690
204,783
205,906
206,918
207,997
208,884
209,1077
210,1333
211,1154
212,1217
213,1415
214,857
215,871
216,952
217,887
218,810
219,925
220,636
221,633
222,692
223,553
224,447
225,1746
