Time,org.dom4j.tree.DefaultAttribute Data
0,226
1,226
2,226
3,226
4,226
5,226
6,226
7,226
8,226
9,226
10,226
11,226
12,226
13,226
14,226
15,226
16,226
17,226
18,226
19,226
20,226
21,226
22,226
23,226
24,226
25,226
26,226
27,226
28,226
29,226
30,226
31,226
32,226
33,226
34,226
35,226
36,226
37,226
38,226
39,226
40,226
41,226
42,226
43,226
44,226
45,226
46,226
47,226
48,226
49,226
50,226
51,226
52,226
53,226
54,226
55,226
56,226
57,226
58,226
59,226
60,226
61,226
62,226
63,226
64,226
65,226
66,226
67,226
68,226
69,226
70,226
71,226
72,226
73,226
74,226
75,226
76,226
77,226
78,226
79,226
80,226
81,226
82,226
83,226
84,226
85,226
86,226
87,226
88,226
89,226
90,226
91,226
92,226
93,226
94,226
95,226
96,226
97,226
98,226
99,226
100,226
101,226
102,226
103,226
104,226
105,226
106,226
107,226
108,226
109,226
110,226
111,226
112,226
113,226
114,226
115,226
116,226
117,226
118,226
119,226
120,226
121,226
122,226
123,226
124,226
125,226
126,226
127,226
128,226
129,226
130,226
131,226
132,226
133,226
134,226
135,226
136,226
137,226
138,226
139,226
140,226
141,226
