Time,org.hibernate.annotations.common.reflection.java.JavaAnnotationReader Data
0,10910
1,565
2,10910
3,565
4,10910
5,565
6,10910
7,565
8,10910
9,565
10,10910
11,565
12,10910
13,565
14,10910
15,565
16,10910
17,565
18,10910
19,565
20,10910
21,565
22,10910
23,565
24,10910
25,565
26,10910
27,565
28,10910
29,565
30,10910
31,565
32,10910
33,565
34,10910
35,565
36,10910
37,565
38,10910
39,565
40,10910
41,565
42,10910
43,565
44,10910
45,565
46,10910
47,565
48,10910
49,565
50,10910
51,565
52,10910
53,565
54,10910
55,565
56,10910
57,565
58,10910
59,565
60,10910
61,565
62,10910
63,565
64,10910
65,565
66,10910
67,565
68,10910
69,565
70,10910
71,565
72,10910
73,565
74,10910
75,565
76,10910
77,565
78,10910
79,565
80,10910
81,565
82,10910
83,565
84,10910
85,565
86,10910
87,565
88,10910
89,565
90,10910
91,565
92,10910
93,565
94,10910
95,565
96,10910
97,565
98,10910
99,565
100,10910
101,565
102,10910
103,565
104,10910
105,565
106,10910
107,565
108,10910
109,565
110,10910
111,565
112,10910
113,565
114,10910
115,565
116,10910
117,565
118,10910
119,565
120,10910
121,565
122,10910
123,565
124,10910
125,565
126,10910
127,565
128,10910
129,565
130,10910
131,565
132,10910
133,565
134,10910
135,565
136,10910
137,565
138,10910
139,565
140,10910
141,565
142,10910
143,565
144,10910
145,565
146,10910
147,565
148,10910
149,565
150,10910
151,565
152,10910
153,565
154,10910
155,565
156,10910
157,565
158,10910
159,565
160,10910
161,565
162,10910
163,565
164,10910
165,565
166,10910
167,565
168,10910
169,565
170,10910
171,565
172,10910
173,565
174,10910
175,565
176,10910
177,565
178,10910
179,565
180,10910
181,565
182,10910
183,565
184,10910
185,565
186,10910
187,565
188,10910
189,565
190,10910
191,565
192,10910
193,565
194,10910
195,565
196,10910
197,565
198,10910
199,565
200,10910
201,565
202,10910
203,565
204,10910
205,565
206,10910
207,565
208,10910
209,565
210,10910
211,565
212,10910
213,565
214,10910
215,565
216,10910
217,565
218,10910
219,565
220,10910
221,565
222,10910
223,565
224,10910
225,565
226,10910
227,565
228,10910
229,565
230,10910
231,565
232,10910
233,565
234,10910
235,565
236,10910
237,565
238,10910
239,565
240,10910
241,565
242,10910
243,565
244,10910
245,565
246,10910
247,565
248,10910
249,565
250,10910
251,565
252,10910
253,565
254,10910
255,565
256,10910
257,565
258,10910
259,565
260,10910
261,565
262,10910
263,565
264,10910
265,565
266,10910
267,565
268,10910
269,565
270,10910
271,565
272,10910
273,565
274,10910
275,565
276,10910
277,565
278,10910
279,565
280,10910
281,565
282,10910
283,565
284,10910
285,565
286,10910
287,565
288,10910
289,565
290,10910
291,565
292,10910
293,565
294,10910
295,565
296,10910
297,565
298,10910
299,565
300,10910
301,565
302,10910
303,565
304,10910
305,565
306,10910
307,565
308,10910
309,565
310,10910
311,565
312,10910
313,565
314,10910
315,565
316,10910
317,565
318,10910
319,565
320,10910
321,565
322,10910
323,565
324,10910
325,565
326,10910
327,565
328,10910
329,565
330,10910
331,565
332,10910
333,565
334,10910
335,565
336,10910
337,565
338,10910
339,565
340,10910
341,565
342,10910
343,565
344,10910
345,565
346,10910
347,565
348,10910
349,565
350,10910
351,565
352,10910
353,565
354,10910
355,565
356,10910
357,565
358,10910
359,565
360,10910
361,565
362,10910
363,565
364,10910
365,565
366,10910
367,565
368,10910
369,565
370,10910
371,565
372,10910
373,565
374,10910
375,565
376,10910
377,565
378,10910
379,565
380,10910
381,565
382,10910
383,565
384,10910
385,565
386,10910
387,565
388,10910
389,565
390,10910
391,565
392,10910
393,565
394,10910
395,565
396,10910
397,565
398,10910
399,565
400,10910
401,565
402,10910
403,565
404,10910
405,565
406,10910
407,565
408,10910
409,565
410,10910
411,565
