Time,org.hibernate.dialect.lock.SelectLockingStrategy Data
0,868
1,868
2,868
3,868
4,868
5,868
6,868
7,868
8,868
9,868
10,868
11,868
12,868
13,868
14,868
15,868
16,868
17,868
18,868
19,868
20,868
21,868
22,868
23,868
24,868
25,868
26,868
27,868
28,868
29,868
30,868
31,868
32,868
33,868
34,868
35,868
36,868
37,868
38,868
39,868
40,868
41,868
42,868
43,868
44,868
45,868
46,868
47,868
48,868
49,868
50,868
51,868
52,868
53,868
54,868
55,868
56,868
57,868
58,868
59,868
60,868
61,868
62,868
63,868
64,868
65,868
66,868
67,868
68,868
69,868
70,868
71,868
72,868
73,868
74,868
75,868
76,868
77,868
78,868
79,868
80,868
81,868
82,868
83,868
84,868
85,868
86,868
87,868
88,868
89,868
90,868
91,868
92,868
93,868
94,868
95,868
96,868
97,868
98,868
99,868
100,868
101,868
102,868
103,868
104,868
105,868
106,868
107,868
108,868
109,868
110,868
111,868
112,868
113,868
114,868
115,868
116,868
117,868
118,868
119,868
120,868
121,868
122,868
123,868
124,868
125,868
126,868
127,868
128,868
129,868
130,868
131,868
132,868
133,868
134,868
135,868
136,868
137,868
138,868
139,868
140,868
141,868
142,868
143,868
144,868
145,868
146,868
147,868
148,868
149,868
150,868
151,868
152,868
153,868
154,868
155,868
156,868
157,868
158,868
159,868
160,868
161,868
162,868
163,868
164,868
165,868
166,868
167,868
168,868
169,868
170,868
171,868
172,868
173,868
174,868
175,868
176,868
177,868
178,868
179,868
180,868
181,868
182,868
183,868
184,868
185,868
186,868
187,868
188,868
189,868
190,868
191,868
192,868
193,868
194,868
195,868
196,868
197,868
198,868
199,868
200,868
201,868
202,868
203,868
204,868
205,868
