Time,org.hibernate.engine.EntityEntry Data
0,282
1,86
2,810
3,282
4,282
5,193
6,650
7,282
8,742
9,282
10,844
11,282
12,765
13,282
14,753
15,282
16,687
17,534
18,260
19,110
20,805
21,282
22,696
23,282
24,120
25,764
26,282
27,799
28,66
29,506
30,282
31,282
32,164
33,802
34,282
35,282
36,211
37,820
38,282
39,930
40,564
41,750
42,564
43,255
44,112
45,107
46,896
47,282
48,100
49,94
50,615
51,282
52,836
53,282
54,827
55,282
56,723
57,282
58,100
59,58
60,890
61,564
62,282
63,168
64,346
65,60
66,56
67,144
68,860
69,282
70,267
71,115
72,951
73,282
74,761
75,282
76,844
77,282
78,476
79,552
80,282
81,128
82,949
83,564
84,851
85,282
86,430
87,282
88,852
89,282
90,282
91,94
92,282
93,196
94,894
95,282
96,468
97,282
98,559
99,907
100,282
101,282
102,780
103,282
104,1207
105,282
106,888
107,282
108,104
109,700
110,458
111,282
112,852
113,282
114,1267
115,282
116,969
117,282
118,42
119,424
120,59
121,316
122,282
123,756
124,282
125,282
126,193
127,760
128,756
129,282
130,309
131,564
132,282
133,810
134,282
135,369
136,109
137,304
138,506
139,282
140,549
141,1376
142,564
143,1533
144,564
145,828
146,282
147,820
148,282
149,744
150,282
151,1251
152,564
153,1165
154,282
155,324
156,282
157,138
158,42
159,589
160,282
161,516
162,282
163,110
164,843
165,282
166,548
167,282
168,282
169,110
170,902
171,282
172,556
173,282
174,282
175,128
176,1431
177,564
178,282
179,180
180,1654
181,564
182,979
183,282
184,60
185,1242
186,564
187,1551
188,282
189,282
190,185
191,1628
192,564
193,890
194,564
195,1425
196,564
197,860
198,282
199,474
200,833
201,282
202,96
203,954
204,564
205,1448
206,564
207,852
208,282
209,1638
210,564
211,359
212,282
213,991
214,282
215,492
216,1251
217,268
218,1637
219,564
220,804
221,282
222,1568
223,564
224,109
225,954
226,530
227,1689
228,366
229,282
230,195
231,1656
232,564
233,708
234,878
235,282
236,1677
237,564
238,794
239,282
240,876
241,282
242,1677
243,564
244,794
245,282
246,852
247,282
248,1650
249,564
250,732
251,234
252,560
253,766
254,282
255,800
256,1257
257,282
258,1758
259,564
260,516
261,953
262,564
263,920
264,564
265,1642
266,564
267,96
268,724
269,282
270,726
271,865
272,564
273,860
274,282
275,1570
276,282
277,1679
278,564
279,1700
280,564
281,96
282,700
283,282
284,440
285,828
286,282
287,1253
288,282
289,282
290,136
291,752
292,282
293,282
294,211
295,836
296,282
297,887
298,282
299,808
300,282
301,937
302,282
303,1309
304,564
305,944
306,282
307,1349
308,282
309,1632
310,564
311,466
312,282
313,820
314,282
315,886
316,282
317,446
318,282
319,784
320,282
321,835
322,282
323,376
324,752
325,83
326,282
327,84
328,128
329,174
330,1739
331,564
