Time,org.hibernate.engine.query.HQLQueryPlan Data
0,429
1,533
2,577
3,632
4,687
5,731
6,70
7,786
8,840
9,663
10,70
11,718
12,773
13,817
14,872
15,927
16,971
17,1026
18,1080
19,1125
20,1180
21,70
22,1235
23,780
24,70
25,835
26,890
27,934
28,989
29,1044
30,1095
31,1143
32,70
33,1198
34,70
35,1245
36,70
37,1267
38,70
39,1319
40,756
41,70
42,811
43,70
44,856
45,910
46,965
47,1019
48,1064
49,70
50,1119
51,70
52,1173
53,1218
54,1273
55,1327
56,70
57,777
58,832
59,70
60,886
61,931
62,986
63,1041
64,1085
65,70
66,1140
67,1195
68,1239
69,1294
70,1349
71,768
72,823
73,878
74,70
75,922
76,70
77,977
78,1032
79,1083
80,1131
81,1185
82,1230
83,1284
84,70
85,1329
86,70
87,779
88,833
89,878
90,70
91,933
92,987
93,1032
94,750
95,70
96,797
97,849
98,904
99,958
100,1003
101,1058
102,70
103,1113
104,1157
105,70
106,1212
107,1266
108,1311
109,752
110,806
111,851
112,906
113,961
114,1006
115,1060
116,1115
117,1162
118,1214
119,70
120,1269
121,1323
122,766
123,821
124,876
125,920
126,70
127,975
128,1029
129,1074
130,1129
131,1184
132,70
133,1228
134,1283
135,1338
136,760
137,815
138,870
139,914
140,969
141,1024
142,1078
143,1123
144,1178
145,1225
146,1277
147,70
148,1332
149,763
150,815
151,870
152,924
153,969
154,1024
155,1079
156,1123
157,1178
158,70
159,1233
160,1277
161,1332
162,768
163,821
164,867
165,922
166,976
167,1021
168,1076
169,1130
170,1175
171,1230
172,1277
173,1329
174,779
175,826
176,878
177,933
178,988
179,1032
180,1087
181,1142
182,1186
183,1241
184,1296
185,1340
186,771
187,70
188,826
189,870
190,925
191,980
192,1024
193,70
194,1079
195,1134
196,1185
197,1233
198,1288
199,70
200,1342
201,771
202,70
203,826
204,880
205,925
206,980
207,1034
208,1079
209,1134
210,70
211,1188
212,1233
213,1288
214,1343
215,768
216,70
217,823
218,878
219,922
220,977
221,1032
222,1076
223,1131
224,1185
225,1230
226,1285
227,1340
228,770
229,825
230,880
231,924
232,979
233,1034
234,1078
235,1133
236,1185
237,1232
238,1287
239,1331
