Time,org.hibernate.event.FlushEvent Data
0,506
1,464
2,453
3,519
4,462
5,493
6,363
7,335
8,504
9,481
10,471
11,407
12,424
13,503
14,510
15,645
16,594
17,546
18,476
19,518
20,509
21,447
22,625
23,247
24,520
25,582
26,462
27,519
28,318
29,354
30,666
31,524
32,389
33,526
34,540
35,380
36,352
37,574
38,478
39,759
40,535
41,350
42,402
43,520
44,819
45,591
46,279
47,349
48,464
49,392
50,464
51,448
52,510
53,411
54,304
55,951
56,945
57,511
58,504
59,457
60,888
61,756
62,465
63,341
64,517
65,430
66,543
67,441
68,926
69,1028
70,569
71,882
72,867
73,1013
74,632
75,970
76,522
77,318
78,510
79,679
80,983
81,526
82,1021
83,605
84,325
85,796
86,1005
87,502
88,974
89,588
90,955
91,1028
92,344
93,534
94,1035
95,502
96,535
97,1035
98,496
99,520
100,1019
101,379
102,363
103,483
104,402
105,817
106,1090
107,345
108,670
109,645
110,1016
111,449
112,383
113,616
114,527
115,898
116,1034
117,1042
118,436
119,308
120,511
121,782
122,464
123,518
124,555
125,500
126,578
127,923
128,580
129,850
130,1013
131,409
132,510
133,556
134,385
135,492
136,516
137,391
138,1069
