Time,org.hibernate.event.LoadEvent Data
0,156
1,404
2,156
3,156
4,219
5,156
6,363
7,156
8,425
9,156
10,382
11,156
12,401
13,156
14,344
15,211
16,152
17,400
18,156
19,244
20,156
21,379
22,156
23,404
24,183
25,156
26,156
27,397
28,156
29,156
30,123
31,410
32,156
33,474
34,312
35,312
36,282
37,150
38,458
39,156
40,248
41,156
42,420
43,156
44,415
45,156
46,354
47,156
48,442
49,312
50,156
51,131
52,435
53,156
54,156
55,489
56,156
57,376
58,156
59,425
60,156
61,172
62,220
63,156
64,485
65,312
66,430
67,156
68,167
69,156
70,430
71,156
72,156
73,156
74,458
75,156
76,165
77,156
78,225
79,458
80,156
81,156
82,386
83,156
84,538
85,156
86,453
87,156
88,345
89,185
90,156
91,430
92,156
93,568
94,156
95,503
96,156
97,140
98,156
99,131
100,374
101,156
102,156
103,378
104,374
105,156
106,137
107,221
108,156
109,402
110,156
111,164
112,124
113,187
114,156
115,270
116,626
117,312
118,759
119,312
120,415
121,156
122,410
123,156
124,363
125,156
126,586
127,312
128,535
129,156
130,141
131,156
132,237
133,156
134,197
135,156
136,425
137,156
138,211
139,156
140,156
141,463
142,156
143,216
144,156
145,156
146,739
147,312
148,156
149,828
150,312
151,470
152,156
153,581
154,312
155,775
156,156
157,815
158,312
159,449
160,312
161,657
162,312
163,435
164,156
165,169
166,418
167,156
168,482
169,312
170,672
171,312
172,430
173,156
174,817
175,312
176,248
177,156
178,514
179,182
180,559
181,822
182,312
183,400
184,156
185,779
186,312
187,489
188,302
189,856
190,204
191,156
192,830
193,312
194,350
195,448
196,156
197,843
198,312
199,392
200,156
201,445
202,156
203,843
204,312
205,392
206,156
207,430
208,156
209,825
210,312
211,360
212,138
213,225
214,375
215,156
216,405
217,587
218,889
219,312
220,197
221,483
222,312
223,467
224,312
225,825
226,312
227,354
228,156
229,355
230,432
231,312
232,435
233,156
234,783
235,156
236,846
237,312
238,858
239,312
240,339
241,156
242,177
243,415
244,156
245,559
246,156
247,156
248,368
249,156
250,156
251,123
252,420
253,156
254,441
255,156
256,402
257,156
258,479
259,156
260,586
261,312
262,487
263,156
264,615
265,815
266,312
267,190
268,156
269,410
270,156
271,450
272,156
273,187
274,156
275,387
276,156
277,420
278,156
279,159
280,373
281,156
282,883
283,312
