Time,org.hibernate.event.PostLoadEvent Data
0,486
1,158
2,432
3,441
4,507
5,454
6,488
7,399
8,340
9,490
10,450
11,458
12,444
13,387
14,488
15,161
16,498
17,592
18,216
19,523
20,216
21,533
22,437
23,506
24,499
25,435
26,569
27,216
28,228
29,509
30,573
31,451
32,507
33,327
34,362
35,125
36,616
37,216
38,514
39,318
40,514
41,153
42,532
43,343
44,361
45,558
46,108
47,473
48,751
49,522
50,380
51,329
52,508
53,816
54,584
55,283
56,256
57,451
58,425
59,451
60,209
61,412
62,495
63,210
64,374
65,335
66,903
67,926
68,499
69,492
70,441
71,816
72,716
73,216
74,430
75,350
76,507
77,395
78,534
79,405
80,119
81,908
82,216
83,1004
84,560
85,813
86,888
87,992
88,575
89,216
90,923
91,510
92,323
93,500
94,622
95,216
96,938
97,514
98,994
99,181
100,596
101,333
102,792
103,989
104,490
105,948
106,577
107,974
108,1004
109,375
110,525
111,1013
112,487
113,523
114,1013
115,481
116,508
117,996
118,413
119,371
120,472
121,440
122,787
123,1068
124,354
125,618
126,216
127,588
128,216
129,995
130,435
131,413
132,562
133,216
134,515
135,922
136,1015
137,1017
138,422
139,285
140,499
141,772
142,448
143,161
144,506
145,542
146,489
147,570
148,876
149,216
150,573
151,848
152,989
153,336
154,498
155,548
156,328
157,481
158,506
159,240
160,424
161,1046
