Time,org.hibernate.hql.ast.QueryTranslatorImpl Data
0,429
1,70
2,533
3,577
4,632
5,687
6,731
7,70
8,786
9,840
10,663
11,70
12,718
13,773
14,70
15,817
16,872
17,70
18,927
19,971
20,1026
21,70
22,1080
23,1125
24,1180
25,70
26,1235
27,780
28,70
29,835
30,890
31,934
32,989
33,1044
34,1095
35,1143
36,70
37,1198
38,70
39,1245
40,70
41,1267
42,70
43,1319
44,756
45,70
46,811
47,70
48,856
49,910
50,965
51,1019
52,1064
53,70
54,1119
55,70
56,1173
57,1218
58,1273
59,70
60,1327
61,70
62,777
63,70
64,832
65,70
66,886
67,931
68,70
69,986
70,1041
71,1085
72,70
73,1140
74,1195
75,70
76,1239
77,1294
78,70
79,1349
80,768
81,823
82,70
83,878
84,70
85,922
86,70
87,977
88,1032
89,70
90,1083
91,1131
92,1185
93,1230
94,1284
95,70
96,1329
97,70
98,779
99,833
100,70
101,878
102,70
103,933
104,987
105,1032
106,750
107,70
108,797
109,70
110,849
111,904
112,958
113,1003
114,1058
115,70
116,1113
117,70
118,1157
119,70
120,1212
121,1266
122,1311
123,752
124,806
125,851
126,70
127,906
128,961
129,1006
130,70
131,1060
132,70
133,1115
134,1162
135,70
136,1214
137,70
138,1269
139,1323
140,766
141,821
142,876
143,920
144,70
145,975
146,1029
147,1074
148,70
149,1129
150,70
151,1184
152,70
153,1228
154,1283
155,1338
156,70
157,760
158,815
159,870
160,70
161,914
162,969
163,1024
164,70
165,1078
166,1123
167,1178
168,1225
169,1277
170,70
171,1332
172,763
173,815
174,870
175,924
176,969
177,1024
178,1079
179,70
180,1123
181,1178
182,70
183,1233
184,1277
185,1332
186,768
187,821
188,70
189,867
190,922
191,70
192,976
193,1021
194,1076
195,1130
196,1175
197,70
198,1230
199,1277
200,1329
201,779
202,826
203,70
204,878
205,933
206,988
207,1032
208,1087
209,1142
210,1186
211,1241
212,1296
213,1340
214,771
215,70
216,826
217,870
218,925
219,980
220,1024
221,70
222,1079
223,1134
224,1185
225,1233
226,1288
227,70
228,1342
229,771
230,70
231,826
232,70
233,880
234,925
235,980
236,1034
237,1079
238,1134
239,70
240,1188
241,1233
242,70
243,1288
244,1343
245,768
246,70
247,823
248,70
249,878
250,922
251,977
252,1032
253,1076
254,1131
255,1185
256,1230
257,1285
258,1340
259,770
260,825
261,880
262,924
263,979
264,1034
265,1078
266,70
267,1133
268,1185
269,70
270,1232
271,70
272,1287
273,70
274,1331
