Time,org.hibernate.hql.ast.tree.FromClause Data
0,429
1,70
2,533
3,70
4,577
5,70
6,632
7,70
8,687
9,70
10,731
11,70
12,786
13,70
14,840
15,70
16,663
17,70
18,718
19,70
20,773
21,70
22,817
23,70
24,872
25,70
26,927
27,70
28,971
29,70
30,1026
31,70
32,1080
33,70
34,1125
35,70
36,1180
37,70
38,1235
39,70
40,780
41,70
42,835
43,70
44,890
45,70
46,934
47,70
48,989
49,70
50,1044
51,70
52,1095
53,70
54,1143
55,70
56,1198
57,70
58,1245
59,70
60,1267
61,70
62,1319
63,70
64,756
65,70
66,811
67,70
68,856
69,70
70,910
71,70
72,965
73,70
74,1019
75,70
76,1064
77,70
78,1119
79,70
80,1173
81,70
82,1218
83,70
84,1273
85,70
86,1327
87,70
88,777
89,70
90,832
91,70
92,886
93,70
94,931
95,70
96,986
97,70
98,1041
99,70
100,1085
101,70
102,1140
103,70
104,1195
105,70
106,1239
107,70
108,1294
109,70
110,1349
111,70
112,768
113,70
114,823
115,70
116,878
117,70
118,922
119,70
120,977
121,70
122,1032
123,70
124,1083
125,70
126,1131
127,70
128,1185
129,70
130,1230
131,70
132,1284
133,70
134,1329
135,70
136,779
137,70
138,833
139,70
140,878
141,70
142,933
143,70
144,987
145,70
146,1032
147,70
148,750
149,70
150,797
151,70
152,849
153,70
154,904
155,70
156,958
157,70
158,1003
159,70
160,1058
161,70
162,1113
163,70
164,1157
165,70
166,1212
167,70
168,1266
169,70
170,1311
171,70
172,752
173,70
174,806
175,70
176,851
177,70
178,906
179,70
180,961
181,70
182,1006
183,70
184,1060
185,70
186,1115
187,70
188,1162
189,70
190,1214
191,70
192,1269
193,1323
194,766
195,70
196,821
197,70
198,876
199,70
200,920
201,70
202,975
203,1029
204,70
205,1074
206,70
207,1129
208,70
209,1184
210,70
211,1228
212,70
213,1283
214,70
215,1338
216,70
217,760
218,70
219,815
220,70
221,870
222,70
223,914
224,70
225,969
226,70
227,1024
228,70
229,1078
230,1123
231,70
232,1178
233,1225
234,70
235,1277
236,70
237,1332
238,763
239,70
240,815
241,70
242,870
243,924
244,70
245,969
246,1024
247,70
248,1079
249,70
250,1123
251,70
252,1178
253,70
254,1233
255,1277
256,1332
257,70
258,768
259,821
260,70
261,867
262,70
263,922
264,70
265,976
266,70
267,1021
268,1076
269,70
270,1130
271,1175
272,70
273,1230
274,70
275,1277
276,1329
277,70
278,779
279,826
280,70
281,878
282,70
283,933
284,988
285,70
286,1032
287,70
288,1087
289,1142
290,70
291,1186
292,70
293,1241
294,1296
295,70
296,1340
297,70
298,771
299,70
300,826
301,70
302,870
303,70
304,925
305,70
306,980
307,1024
308,70
309,1079
310,70
311,1134
312,70
313,1185
314,70
315,1233
316,1288
317,70
318,1342
319,70
320,771
321,70
322,826
323,70
324,880
325,70
326,925
327,70
328,980
329,70
330,1034
331,1079
332,1134
333,70
334,1188
335,70
336,1233
337,70
338,1288
339,70
340,1343
341,70
342,768
343,70
344,823
345,70
346,878
347,70
348,922
349,70
350,977
351,70
352,1032
353,70
354,1076
355,70
356,1131
357,70
358,1185
359,1230
360,70
361,1285
362,70
363,1340
364,770
365,70
366,825
367,70
368,880
369,70
370,924
371,70
372,979
373,70
374,1034
375,70
376,1078
377,70
378,1133
379,70
380,1185
381,70
382,1232
383,70
384,1287
385,70
386,1331
