Time,org.hibernate.hql.ast.tree.IsNullLogicOperatorNode Data
0,60
1,56
2,75
3,89
4,94
5,98
6,103
7,108
8,69
9,102
10,107
11,112
12,114
13,118
14,66
15,71
16,90
17,94
18,99
19,108
20,113
21,118
22,68
23,73
24,82
25,92
26,96
27,101
28,106
29,110
30,115
31,120
32,78
33,82
34,92
35,96
36,106
37,110
38,115
39,119
40,74
41,78
42,67
43,95
44,100
45,104
46,109
47,114
48,118
49,91
50,95
51,100
52,105
53,109
54,81
55,95
56,100
57,105
58,109
59,114
60,119
61,77
62,91
63,100
64,110
65,114
66,96
67,100
68,105
69,119
70,82
71,96
72,105
73,110
74,119
75,102
76,106
77,116
78,120
79,68
80,91
81,96
82,115
83,120
84,68
85,101
86,106
87,110
88,115
89,120
90,68
91,96
92,110
93,96
94,101
95,105
96,110
97,115
