Time,org.hibernate.hql.ast.tree.Node Data
0,18668
1,1921
2,23903
3,1921
4,25983
5,1921
6,28593
7,1921
8,31205
9,1921
10,33291
11,1921
12,35903
13,1921
14,38498
15,1921
16,30459
17,1921
18,33069
19,1921
20,35679
21,1921
22,37767
23,1921
24,40377
25,1921
26,42989
27,1921
28,45075
29,1921
30,47685
31,1921
32,50282
33,1921
34,52383
35,1921
36,54993
37,1921
38,57603
39,1921
40,35271
41,1921
42,37881
43,1921
44,40493
45,1921
46,42579
47,1921
48,45191
49,1921
50,47801
51,1921
52,50213
53,1921
54,52497
55,1921
56,55107
57,1921
58,57376
59,1921
60,58420
61,1921
62,60851
63,1921
64,34180
65,1921
66,36790
67,1921
68,38907
69,1921
70,41490
71,1921
72,44100
73,1921
74,46695
75,1921
76,48796
77,1921
78,51406
79,1921
80,54003
81,1921
82,56104
83,1921
84,58714
85,1921
86,61309
87,1921
88,35200
89,1921
90,37810
91,1921
92,40407
93,1921
94,42508
95,1921
96,45120
97,1921
98,47730
99,1921
100,49816
101,1921
102,52428
103,1921
104,55036
105,1921
106,57124
107,1921
108,59734
109,1921
110,62346
111,1921
112,34731
113,1921
114,37339
115,1921
116,39949
117,1921
118,42037
119,1921
120,44649
121,1921
122,47257
123,1921
124,49671
125,1921
126,51957
127,1921
128,54550
129,1921
130,56653
131,1921
132,59248
133,1921
134,61351
135,1921
136,35253
137,1921
138,37846
139,1921
140,39949
141,1921
142,42559
143,1921
144,45156
145,1921
146,47259
147,1921
148,33881
149,1921
150,36152
151,1921
152,38579
153,1921
154,41191
155,1921
156,43786
157,1921
158,45889
159,1921
160,48497
161,1921
162,51107
163,1921
164,53195
165,1921
166,55805
167,1921
168,58402
169,1921
170,60503
171,1921
172,33985
173,1921
174,36580
175,1921
176,38681
177,1921
178,41291
179,1921
180,43903
181,1921
182,46018
183,1921
184,48599
185,1921
186,51209
187,1921
188,53478
189,1921
190,55907
191,1921
192,58519
193,1921
194,61116
195,1921
196,34680
197,1921
198,37290
199,1921
200,39900
201,1921
202,41986
203,1921
204,44598
205,1921
206,47193
207,1921
208,49294
209,1921
210,51904
211,1921
212,54514
213,1921
214,56602
215,1921
216,59212
217,1921
218,61822
219,1921
220,34378
221,1921
222,36986
223,1921
224,39596
225,1921
226,41686
227,1921
228,44294
229,1921
230,46904
231,1921
232,49501
233,1921
234,51602
235,1921
236,54216
237,1921
238,56483
239,1921
240,58910
241,1921
242,61522
243,1921
244,34561
245,1921
246,36986
247,1921
248,39600
249,1921
250,42193
251,1921
252,44296
253,1921
254,46906
255,1921
256,49514
257,1921
258,51604
259,1921
260,54212
261,1921
262,56824
263,1921
264,58912
265,1921
266,61522
267,1921
268,34733
269,1921
270,37302
271,1921
272,39429
273,1921
274,42037
275,1921
276,44634
277,1921
278,46739
279,1921
280,49347
281,1921
282,51944
283,1921
284,54043
285,1921
286,56655
287,1921
288,58926
289,1921
290,61351
291,1921
292,35255
293,1921
294,37522
295,1921
296,39951
297,1921
298,42563
299,1921
300,45171
301,1921
302,47259
303,1921
304,49871
305,1921
306,52479
307,1921
308,54567
309,1921
310,57179
311,1921
312,59787
313,1921
314,61873
315,1921
316,34898
317,1921
318,37510
319,1921
320,39596
321,1921
322,42208
323,1921
324,44820
325,1921
326,46904
327,1921
328,49514
329,1921
330,52126
331,1921
332,54540
333,1921
334,56826
335,1921
336,59432
337,1921
338,62029
339,1921
340,34898
341,1921
342,37510
343,1921
344,40105
345,1921
346,42208
347,1921
348,44818
349,1921
350,47415
351,1921
352,49518
353,1921
354,52124
355,1921
356,54721
357,1921
358,56822
359,1921
360,59434
361,1921
362,62044
363,1921
364,34729
365,1921
366,37339
367,1921
368,39951
369,1921
370,42037
371,1921
372,44649
373,1921
374,47259
375,1921
376,49347
377,1921
378,51957
379,1921
380,54552
381,1921
382,56655
383,1921
384,59265
385,1921
386,61877
387,1921
388,34874
389,1921
390,37486
391,1921
392,40096
393,1921
394,42182
395,1921
396,44794
397,1921
398,47404
399,1921
400,49490
401,1921
402,52102
403,1921
404,54538
405,1921
406,56798
407,1921
408,59408
409,1921
410,61500
411,1921
