Time,org.hibernate.hql.ast.tree.SelectClause Data
0,399
1,64
2,497
3,64
4,537
5,64
6,587
7,64
8,637
9,64
10,677
11,64
12,727
13,64
14,776
15,64
16,614
17,64
18,664
19,64
20,714
21,64
22,754
23,64
24,804
25,64
26,854
27,64
28,894
29,64
30,944
31,64
32,993
33,64
34,1034
35,64
36,1084
37,64
38,1134
39,64
40,717
41,64
42,767
43,64
44,817
45,64
46,857
47,64
48,907
49,64
50,957
51,1004
52,1047
53,64
54,1097
55,64
56,1139
57,64
58,1159
59,64
60,1207
61,64
62,696
63,64
64,746
65,64
66,786
67,64
68,836
69,64
70,886
71,64
72,935
73,64
74,976
75,64
76,1026
77,64
78,1075
79,1116
80,64
81,1166
82,64
83,1215
84,64
85,715
86,64
87,765
88,64
89,814
90,64
91,855
92,64
93,905
94,955
95,64
96,995
97,64
98,1045
99,64
100,1095
101,64
102,1135
103,64
104,1185
105,64
106,1235
107,706
108,64
109,756
110,64
111,806
112,64
113,846
114,64
115,896
116,64
117,946
118,64
119,993
120,64
121,1036
122,1085
123,64
124,1126
125,64
126,1175
127,64
128,1216
129,64
130,716
131,64
132,765
133,64
134,806
135,64
136,856
137,64
138,905
139,946
140,689
141,64
142,731
143,64
144,779
145,64
146,829
147,64
148,878
149,919
150,969
151,64
152,1019
153,64
154,1059
155,64
156,1109
157,64
158,1158
159,64
160,1199
161,64
162,691
163,64
164,740
165,64
166,781
167,64
168,831
169,64
170,881
171,64
172,921
173,64
174,971
175,64
176,1021
177,64
178,1063
179,64
180,1111
181,64
182,1161
183,1210
184,705
185,64
186,755
187,64
188,805
189,64
190,845
191,64
192,895
193,944
194,985
195,64
196,1035
197,64
198,1085
199,64
200,1125
201,64
202,1175
203,64
204,1225
205,64
206,699
207,64
208,749
209,64
210,799
211,64
212,839
213,889
214,64
215,939
216,64
217,988
218,1029
219,64
220,1079
221,1121
222,1169
223,64
224,1219
225,701
226,749
227,64
228,799
229,848
230,889
231,939
232,64
233,989
234,64
235,1029
236,64
237,1079
238,64
239,1129
240,1169
241,1219
242,64
243,706
244,754
245,64
246,796
247,846
248,64
249,895
250,936
251,986
252,64
253,1035
254,1076
255,64
256,1126
257,1168
258,1216
259,64
260,716
261,758
262,64
263,806
264,64
265,856
266,906
267,64
268,946
269,64
270,996
271,1046
272,64
273,1086
274,64
275,1136
276,1186
277,64
278,1226
279,64
280,709
281,64
282,759
283,64
284,799
285,64
286,849
287,899
288,939
289,64
290,989
291,64
292,1039
293,1086
294,1129
295,1179
296,64
297,1228
298,64
299,709
300,64
301,759
302,64
303,808
304,849
305,64
306,899
307,948
308,989
309,1039
310,64
311,1088
312,64
313,1129
314,64
315,1179
316,64
317,1229
318,706
319,64
320,756
321,64
322,806
323,64
324,846
325,64
326,896
327,64
328,946
329,986
330,64
331,1036
332,1085
333,1126
334,1176
335,1226
336,708
337,64
338,758
339,64
340,808
341,64
342,848
343,64
344,898
345,64
346,948
347,64
348,988
349,64
350,1038
351,64
352,1086
353,64
354,1128
355,64
356,1178
357,64
358,1218
