Time,org.hibernate.hql.ast.util.ASTPrinter Data
0,859
1,1067
2,1155
3,1265
4,1375
5,1463
6,141
7,1573
8,1681
9,1327
10,141
11,1437
12,1547
13,1635
14,1745
15,1855
16,1943
17,2053
18,2161
19,2251
20,2361
21,141
22,2471
23,1561
24,141
25,1671
26,1781
27,1869
28,1979
29,2089
30,2191
31,2287
32,141
33,2397
34,141
35,2491
36,141
37,2535
38,141
39,2639
40,1513
41,141
42,1623
43,141
44,1713
45,1821
46,1931
47,2039
48,2129
49,141
50,2239
51,141
52,2347
53,2437
54,2547
55,2655
56,141
57,1555
58,1665
59,141
60,1773
61,1863
62,1973
63,2083
64,2171
65,141
66,2281
67,2391
68,2479
69,2589
70,2699
71,1537
72,1647
73,1757
74,141
75,1845
76,141
77,1955
78,2065
79,2167
80,2263
81,2371
82,2461
83,2569
84,141
85,2659
86,141
87,1559
88,1667
89,1757
90,141
91,1867
92,1975
93,2065
94,1501
95,141
96,1595
97,1699
98,1809
99,1917
100,2007
101,2117
102,141
103,2227
104,2315
105,141
106,2425
107,2533
108,2623
109,1505
110,1613
111,1703
112,1813
113,1923
114,2013
115,2121
116,2231
117,2325
118,2429
119,141
120,2539
121,2647
122,1533
123,1643
124,1753
125,1841
126,141
127,1951
128,2059
129,2149
130,2259
131,2369
132,141
133,2457
134,2567
135,2677
136,1521
137,1631
138,1741
139,1829
140,1939
141,2049
142,2157
143,2247
144,2357
145,2451
146,2555
147,141
148,2665
149,1527
150,1631
151,1741
152,1849
153,1939
154,2049
155,2159
156,2247
157,2357
158,141
159,2467
160,2555
161,2665
162,1537
163,1643
164,1735
165,1845
166,1953
167,2043
168,2153
169,2261
170,2351
171,2461
172,2555
173,2659
174,1559
175,1653
176,1757
177,1867
178,1977
179,2065
180,2175
181,2285
182,2373
183,2483
184,2593
185,2681
186,1543
187,141
188,1653
189,1741
190,1851
191,1961
192,2049
193,141
194,2159
195,2269
196,2371
197,2467
198,2577
199,141
200,2685
201,1543
202,141
203,1653
204,1761
205,1851
206,1961
207,2069
208,2159
209,2269
210,141
211,2377
212,2467
213,2577
214,2687
215,1537
216,141
217,1647
218,1757
219,1845
220,1955
221,2065
222,2153
223,2263
224,2371
225,2461
226,2571
227,2681
228,1541
229,1651
230,1761
231,1849
232,1959
233,2069
234,2157
235,2267
236,2371
237,2465
238,2575
239,2663
