Time,org.hibernate.impl.QueryImpl Data
0,114
1,74
2,341
3,114
4,136
5,114
6,315
7,114
8,302
9,114
10,355
11,114
12,312
13,114
14,340
15,114
16,261
17,223
18,82
19,70
20,343
21,114
22,328
23,114
24,56
25,317
26,114
27,294
28,40
29,277
30,114
31,120
32,114
33,342
34,114
35,136
36,114
37,349
38,114
39,430
40,228
41,392
42,228
43,81
44,64
45,374
46,114
47,53
48,50
49,315
50,114
51,355
52,114
53,349
54,114
55,299
56,114
57,47
58,40
59,413
60,228
61,117
62,114
63,152
64,61
65,43
66,68
67,355
68,114
69,97
70,79
71,406
72,114
73,309
74,114
75,355
76,114
77,217
78,242
79,114
80,111
81,452
82,228
83,361
84,114
85,237
86,114
87,361
88,114
89,114
90,77
91,130
92,114
93,373
94,114
95,238
96,114
97,240
98,398
99,114
100,114
101,55
102,328
103,114
104,507
105,114
106,364
107,114
108,50
109,244
110,245
111,114
112,355
113,114
114,562
115,114
116,415
117,114
118,180
119,205
120,114
121,311
122,114
123,124
124,114
125,281
126,311
127,115
128,155
129,294
130,115
131,348
132,115
133,91
134,153
135,264
136,115
137,215
138,637
139,229
140,642
141,229
142,349
143,114
144,343
145,114
146,302
147,114
148,582
149,228
150,495
151,114
152,158
153,114
154,109
155,34
156,308
157,114
158,235
159,114
160,98
161,355
162,114
163,279
164,114
165,114
166,98
167,374
168,114
169,288
170,114
171,114
172,105
173,626
174,228
175,118
176,114
177,704
178,228
179,377
180,114
181,580
182,228
183,599
184,114
185,124
186,114
187,695
188,228
189,420
190,228
191,650
192,228
193,356
194,114
195,214
196,349
197,114
198,47
199,459
200,228
201,662
202,228
203,361
204,114
205,697
206,228
207,140
208,114
209,424
210,114
211,221
212,539
213,104
214,691
215,228
216,343
217,114
218,660
219,228
220,53
221,411
222,193
223,667
224,144
225,124
226,114
227,704
228,228
229,238
230,368
231,114
232,710
233,228
234,342
235,114
236,367
237,114
238,710
239,228
240,336
241,114
242,355
243,114
244,697
245,228
246,273
247,75
248,250
249,330
250,114
251,289
252,551
253,114
254,754
255,228
256,239
257,454
258,228
259,429
260,228
261,696
262,228
263,50
264,299
265,114
266,274
267,410
268,228
269,361
270,114
271,630
272,114
273,711
274,228
275,711
276,228
277,50
278,289
279,114
280,199
281,349
282,114
283,519
284,114
285,114
286,105
287,308
288,114
289,136
290,114
291,355
292,114
293,385
294,114
295,342
296,114
297,405
298,114
299,621
300,228
301,408
302,114
303,582
304,114
305,692
306,228
307,251
308,114
309,349
310,114
311,390
312,114
313,240
314,114
315,337
316,114
317,355
318,114
319,166
320,281
321,114
322,74
323,62
324,61
325,735
326,228
