Time,org.hibernate.impl.SessionImpl Data
0,85
1,75
2,349
3,75
4,165
5,75
6,319
7,75
8,296
9,75
10,369
11,75
12,314
13,75
14,344
15,75
16,253
17,268
18,86
19,73
20,348
21,75
22,343
23,75
24,76
25,321
26,75
27,307
28,53
29,288
30,75
31,138
32,75
33,347
34,75
35,167
36,75
37,357
38,75
39,449
40,150
41,406
42,150
43,78
44,72
45,60
46,401
47,75
48,72
49,64
50,355
51,75
52,367
53,75
54,358
55,75
56,293
57,75
58,67
59,51
60,425
61,150
62,138
63,75
64,186
65,64
66,93
67,370
68,75
69,94
70,74
71,433
72,75
73,306
74,75
75,368
76,75
77,233
78,278
79,123
80,75
81,468
82,150
83,375
84,75
85,271
86,75
87,377
88,75
89,85
90,75
91,157
92,75
93,398
94,75
95,253
96,75
97,278
98,419
99,75
100,75
101,53
102,326
103,75
104,534
105,75
106,389
107,75
108,65
109,244
110,285
111,75
112,370
113,75
114,567
115,75
116,452
117,75
118,26
119,191
120,34
121,241
122,75
123,312
124,75
125,150
126,75
127,284
128,312
129,77
130,204
131,322
132,77
133,354
134,77
135,120
136,192
137,287
138,77
139,203
140,669
141,152
142,636
143,152
144,358
145,75
146,350
147,75
148,298
149,75
150,629
151,150
152,534
153,75
154,206
155,123
156,75
157,41
158,333
159,75
160,258
161,106
162,75
163,367
164,75
165,304
166,75
167,106
168,75
169,401
170,75
171,315
172,75
173,116
174,75
175,620
176,150
177,142
178,75
179,722
180,150
181,411
182,75
183,32
184,623
185,150
186,611
187,75
188,149
189,75
190,707
191,150
192,436
193,150
194,695
195,150
196,374
197,75
198,233
199,360
200,75
201,66
202,479
203,150
204,712
205,150
206,377
207,75
208,711
209,150
210,134
211,75
212,462
213,75
214,243
215,553
216,70
217,705
218,150
219,347
220,75
221,667
222,150
223,76
224,438
225,145
226,704
227,100
228,151
229,75
230,721
231,150
232,240
233,389
234,75
235,733
236,150
237,345
238,75
239,389
240,75
241,733
242,150
243,339
244,75
245,371
246,75
247,714
248,150
249,270
250,66
251,282
252,325
253,75
254,303
255,597
256,75
257,786
258,150
259,258
260,472
261,150
262,450
263,150
264,711
265,150
266,64
267,294
268,75
269,271
270,417
271,150
272,379
273,75
274,637
275,75
276,732
277,150
278,740
279,150
280,64
281,278
282,75
283,242
284,359
285,75
286,551
287,75
288,118
289,75
290,306
291,75
292,167
293,75
294,367
295,75
296,402
297,75
298,347
299,75
300,430
301,75
302,624
303,150
304,440
305,75
306,619
307,75
308,704
309,150
310,294
311,75
312,357
313,75
314,408
315,75
316,284
317,75
318,336
319,75
320,366
321,75
322,215
323,283
324,85
325,75
326,84
327,85
328,773
329,150
