Time,org.hibernate.jdbc.BatchingBatcher Data
0,85
1,75
2,349
3,75
4,165
5,75
6,319
7,75
8,296
9,75
10,369
11,314
12,75
13,344
14,75
15,253
16,268
17,86
18,73
19,348
20,75
21,343
22,75
23,76
24,321
25,75
26,307
27,53
28,288
29,75
30,138
31,75
32,347
33,75
34,167
35,75
36,357
37,75
38,449
39,150
40,406
41,150
42,78
43,72
44,60
45,401
46,72
47,64
48,355
49,75
50,367
51,75
52,358
53,75
54,293
55,75
56,67
57,51
58,425
59,150
60,138
61,75
62,186
63,64
64,93
65,370
66,94
67,74
68,433
69,306
70,75
71,368
72,75
73,233
74,278
75,123
76,75
77,468
78,150
79,375
80,75
81,271
82,75
83,377
84,85
85,75
86,157
87,75
88,398
89,253
90,75
91,278
92,419
93,75
94,53
95,326
96,75
97,534
98,389
99,65
100,244
101,285
102,75
103,370
104,75
105,567
106,452
107,191
108,241
109,75
110,312
111,75
112,150
113,75
114,284
115,312
116,77
117,204
118,322
119,77
120,354
121,77
122,120
123,192
124,287
125,77
126,203
127,669
128,152
129,636
130,152
131,358
132,75
133,350
134,75
135,298
136,75
137,629
138,150
139,534
140,206
141,123
142,75
143,41
144,333
145,75
146,258
147,106
148,75
149,367
150,75
151,304
152,75
153,106
154,75
155,401
156,315
157,75
158,116
159,75
160,620
161,150
162,142
163,75
164,722
165,150
166,411
167,623
168,150
169,611
170,149
171,75
172,707
173,150
174,436
175,150
176,695
177,150
178,374
179,233
180,360
181,66
182,479
183,150
184,712
185,150
186,377
187,711
188,150
189,134
190,75
191,462
192,243
193,553
194,705
195,150
196,347
197,75
198,667
199,150
200,76
201,438
202,145
203,704
204,151
205,75
206,721
207,150
208,240
209,389
210,733
211,150
212,345
213,75
214,389
215,733
216,150
217,339
218,75
219,371
220,714
221,150
222,270
223,66
224,282
225,325
226,75
227,303
228,597
229,786
230,150
231,258
232,472
233,150
234,450
235,150
236,711
237,150
238,64
239,294
240,75
241,271
242,417
243,150
244,379
245,637
246,732
247,150
248,740
249,150
250,64
251,278
252,75
253,242
254,359
255,75
256,551
257,118
258,75
259,306
260,75
261,167
262,75
263,367
264,75
265,402
266,347
267,75
268,430
269,624
270,150
271,440
272,619
273,704
274,150
275,294
276,75
277,357
278,75
279,408
280,284
281,75
282,336
283,75
284,366
285,75
286,215
287,283
288,85
289,75
290,84
291,85
292,773
293,150
