Time,org.hibernate.loader.entity.CascadeEntityLoader Data
0,434
1,434
2,434
3,434
4,434
5,434
6,34
7,434
8,434
9,434
10,34
11,434
12,434
13,434
14,434
15,434
16,434
17,434
18,434
19,434
20,434
21,34
22,434
23,434
24,34
25,434
26,434
27,434
28,434
29,434
30,434
31,434
32,34
33,434
34,434
35,34
36,434
37,434
38,434
39,434
40,434
41,434
42,434
43,434
44,434
45,434
46,34
47,434
48,434
49,434
50,434
51,434
52,434
53,34
54,434
55,434
56,434
57,434
58,434
59,34
60,434
61,434
62,434
63,434
64,434
65,434
66,434
67,434
68,34
69,434
70,34
71,434
72,434
73,434
74,434
75,434
76,434
77,434
78,34
79,434
80,34
81,434
82,434
83,434
84,34
85,434
86,434
87,434
88,434
89,434
90,434
91,434
92,434
93,434
94,434
95,34
96,434
97,434
98,434
99,434
100,434
101,434
102,434
103,434
104,434
105,434
106,434
107,434
108,434
109,434
110,434
111,34
112,434
113,434
114,434
115,434
116,434
117,434
118,34
119,434
120,434
121,434
122,434
123,434
124,34
125,434
126,434
127,434
128,434
129,434
130,434
131,434
132,434
133,434
134,434
135,434
136,434
137,434
138,434
139,434
140,434
141,434
142,434
143,434
144,434
145,434
146,434
147,434
148,434
149,434
150,434
151,434
152,434
153,434
154,434
155,434
156,434
157,434
158,434
159,434
160,434
161,434
162,434
163,434
164,434
165,434
166,434
167,434
168,434
169,434
170,434
171,434
172,434
173,434
174,434
175,434
176,434
177,34
178,434
179,434
180,434
181,434
182,434
183,34
184,434
185,434
186,434
187,434
188,434
189,434
190,434
191,34
192,434
193,434
194,434
195,434
196,434
197,434
198,434
199,434
200,434
201,434
202,434
203,434
204,34
205,434
206,434
207,434
208,434
209,434
210,434
211,434
212,434
213,434
214,434
215,434
216,434
217,434
218,434
219,434
220,434
221,434
222,434
223,434
224,434
225,434
226,434
227,434
