Time,org.hibernate.loader.entity.EntityLoader Data
0,1085
1,85
2,1085
3,85
4,1085
5,85
6,1085
7,85
8,1085
9,85
10,1085
11,85
12,1085
13,85
14,1085
15,85
16,1085
17,85
18,1085
19,85
20,1085
21,85
22,1085
23,85
24,1085
25,85
26,1085
27,85
28,1085
29,85
30,1085
31,85
32,1085
33,85
34,1085
35,85
36,1085
37,85
38,1085
39,85
40,1085
41,85
42,1085
43,85
44,1085
45,85
46,1085
47,85
48,1085
49,85
50,1085
51,85
52,1085
53,85
54,1085
55,85
56,1085
57,85
58,1085
59,85
60,1085
61,85
62,1085
63,85
64,1085
65,85
66,1085
67,85
68,1085
69,85
70,1085
71,85
72,1085
73,85
74,1085
75,85
76,1085
77,85
78,1085
79,85
80,1085
81,85
82,1085
83,85
84,1085
85,85
86,1085
87,85
88,1085
89,85
90,1085
91,85
92,1085
93,85
94,1085
95,85
96,1085
97,85
98,1085
99,85
100,1085
101,85
102,1085
103,85
104,1085
105,85
106,1085
107,85
108,1085
109,85
110,1085
111,85
112,1085
113,85
114,1085
115,85
116,1085
117,85
118,1085
119,85
120,1085
121,85
122,1085
123,85
124,1085
125,85
126,1085
127,85
128,1085
129,85
130,1085
131,85
132,1085
133,85
134,1085
135,85
136,1085
137,85
138,1085
139,85
140,1085
141,85
142,1085
143,85
144,1085
145,85
146,1085
147,85
148,1085
149,85
150,1085
151,85
152,1085
153,85
154,1085
155,85
156,1085
157,85
158,1085
159,85
160,1085
161,85
162,1085
163,85
164,1085
165,85
166,1085
167,85
168,1085
169,85
170,1085
171,85
172,1085
173,85
174,1085
175,85
176,1085
177,85
178,1085
179,85
180,1085
181,85
182,1085
183,85
184,1085
185,85
186,1085
187,85
188,1085
189,85
190,1085
191,85
192,1085
193,85
194,1085
195,85
196,1085
197,85
198,1085
199,85
200,1085
201,85
202,1085
203,85
204,1085
205,85
206,1085
207,85
208,1085
209,85
210,1085
211,85
212,1085
213,85
214,1085
215,85
216,1085
217,85
218,1085
219,85
220,1085
221,85
222,1085
223,85
224,1085
225,85
226,1085
227,85
228,1085
229,85
230,1085
231,85
232,1085
233,85
234,1085
235,85
236,1085
237,85
238,1085
239,85
240,1085
241,85
242,1085
243,85
244,1085
245,85
246,1085
247,85
248,1085
249,85
250,1085
251,85
252,1085
253,85
254,1085
255,85
256,1085
257,85
258,1085
259,85
260,1085
261,85
262,1085
263,85
264,1085
265,1085
266,85
267,1085
268,85
269,1085
270,85
271,1085
272,85
273,1085
274,85
275,1085
276,85
277,1085
278,85
279,1085
280,85
281,1085
282,85
283,1085
284,85
285,1085
286,85
287,1085
288,85
289,1085
290,85
291,1085
292,85
293,1085
294,85
295,1085
296,85
297,1085
298,1085
299,85
300,1085
301,85
302,1085
303,1085
304,85
305,1085
306,85
307,1085
308,1085
309,85
310,1085
311,85
312,1085
313,85
314,1085
315,85
316,1085
317,85
318,1085
319,85
320,1085
321,1085
322,85
323,1085
324,85
325,1085
326,85
327,1085
328,85
329,1085
330,85
331,1085
332,85
333,1085
334,85
335,1085
336,85
337,1085
338,85
339,1085
340,85
341,1085
342,85
343,1085
344,85
345,1085
346,1085
347,1085
348,85
349,1085
350,85
351,1085
352,85
353,1085
354,85
355,1085
356,85
357,1085
358,85
359,1085
360,85
361,1085
362,85
363,1085
364,85
365,1085
366,85
367,1085
368,85
369,1085
370,85
371,1085
372,85
373,1085
374,85
375,1085
376,85
377,1085
378,85
379,1085
380,85
381,1085
382,85
383,1085
384,85
385,1085
386,85
387,1085
388,85
389,1085
390,85
391,1085
392,85
393,1085
394,85
395,1085
396,85
397,1085
398,85
399,1085
400,85
401,1085
402,85
403,1085
