Time,org.hibernate.mapping.Column Data
0,2628
1,132
2,2628
3,132
4,2628
5,132
6,2628
7,132
8,2628
9,132
10,2628
11,132
12,2628
13,132
14,2628
15,132
16,2628
17,132
18,2628
19,132
20,2628
21,132
22,2628
23,132
24,2628
25,132
26,2628
27,132
28,2628
29,132
30,2628
31,132
32,2628
33,132
34,2628
35,132
36,2628
37,132
38,2628
39,132
40,2628
41,132
42,2628
43,132
44,2628
45,132
46,2628
47,132
48,2628
49,132
50,2628
51,132
52,2628
53,132
54,2628
55,132
56,2628
57,132
58,2628
59,132
60,2628
61,132
62,2628
63,132
64,2628
65,132
66,2628
67,132
68,2628
69,132
70,2628
71,132
72,2628
73,132
74,2628
75,132
76,2628
77,132
78,2628
79,132
80,2628
81,132
82,2628
83,132
84,2628
85,132
86,2628
87,132
88,2628
89,132
90,2628
91,132
92,2628
93,132
94,2628
95,132
96,2628
97,132
98,2628
99,132
100,2628
101,132
102,2628
103,132
104,2628
105,132
106,2628
107,132
108,2628
109,132
110,2628
111,132
112,2628
113,132
114,2628
115,132
116,2628
117,132
118,2628
119,132
120,2628
121,132
122,2628
123,132
124,2628
125,132
126,2628
127,132
128,2628
129,132
130,2628
131,132
132,2628
133,132
134,2628
135,132
136,2628
137,132
138,2628
139,132
140,2628
141,132
142,2628
143,132
144,2628
145,132
146,2628
147,132
148,2628
149,132
150,2628
151,132
152,2628
153,132
154,2628
155,132
156,2628
157,132
158,2628
159,132
160,2628
161,132
162,2628
163,132
164,2628
165,132
166,2628
167,132
168,2628
169,132
170,2628
171,132
172,2628
173,132
174,2628
175,132
176,2628
177,132
178,2628
179,132
180,2628
181,132
182,2628
183,132
184,2628
185,132
186,2628
187,132
188,2628
189,132
190,2628
191,132
192,2628
193,132
194,2628
195,132
196,2628
197,132
198,2628
199,132
200,2628
201,132
202,2628
203,132
204,2628
205,132
206,2628
207,132
208,2628
209,132
210,2628
211,132
212,2628
213,132
214,2628
215,132
216,2628
217,132
218,2628
219,132
220,2628
221,132
222,2628
223,132
224,2628
225,132
226,2628
227,132
228,2628
229,132
230,2628
231,132
232,2628
233,132
234,2628
235,132
236,2628
237,132
238,2628
239,132
240,2628
241,132
242,2628
243,132
244,2628
245,132
246,2628
247,132
248,2628
249,132
250,2628
251,132
252,2628
253,132
254,2628
255,132
256,2628
257,132
258,2628
259,132
260,2628
261,132
262,2628
263,132
264,2628
265,132
266,2628
267,132
268,2628
269,132
270,2628
271,132
272,2628
273,132
274,2628
275,132
276,2628
277,132
278,2628
279,132
280,2628
281,132
282,2628
283,132
284,2628
285,132
286,2628
287,132
288,2628
289,132
290,2628
291,132
292,2628
293,132
294,2628
295,132
296,2628
297,132
298,2628
299,132
300,2628
301,132
302,2628
303,132
304,2628
305,132
306,2628
307,132
308,2628
309,132
310,2628
311,132
312,2628
313,132
314,2628
315,132
316,2628
317,132
318,2628
319,132
320,2628
321,132
322,2628
323,132
324,2628
325,132
326,2628
327,132
328,2628
329,132
330,2628
331,132
332,2628
333,132
334,2628
335,132
336,2628
337,132
338,2628
339,132
340,2628
341,132
342,2628
343,132
344,2628
345,132
346,2628
347,132
348,2628
349,132
350,2628
351,132
352,2628
353,132
354,2628
355,132
356,2628
357,132
358,2628
359,132
360,2628
361,132
362,2628
363,132
364,2628
365,132
366,2628
367,132
368,2628
369,132
370,2628
371,132
372,2628
373,132
374,2628
375,132
376,2628
377,132
378,2628
379,132
380,2628
381,132
382,2628
383,132
384,2628
385,132
386,2628
387,132
388,2628
389,132
390,2628
391,132
392,2628
393,132
394,2628
395,132
396,2628
397,132
398,2628
399,132
400,2628
401,132
402,2628
403,132
404,2628
405,132
406,2628
407,132
408,2628
409,132
410,2628
411,132
