Time,org.hibernate.mapping.RootClass Data
0,217
1,217
2,217
3,217
4,217
5,217
6,17
7,217
8,217
9,217
10,17
11,217
12,217
13,217
14,217
15,217
16,217
17,217
18,217
19,217
20,217
21,17
22,217
23,217
24,17
25,217
26,217
27,217
28,217
29,217
30,217
31,217
32,17
33,217
34,217
35,17
36,217
37,217
38,217
39,217
40,217
41,217
42,217
43,217
44,217
45,217
46,17
47,217
48,217
49,217
50,217
51,17
52,217
53,217
54,17
55,217
56,217
57,217
58,217
59,217
60,17
61,217
62,217
63,217
64,217
65,217
66,217
67,217
68,217
69,17
70,217
71,17
72,217
73,217
74,217
75,217
76,217
77,217
78,217
79,17
80,217
81,17
82,217
83,217
84,217
85,17
86,217
87,217
88,217
89,217
90,17
91,217
92,217
93,217
94,217
95,217
96,217
97,17
98,217
99,217
100,17
101,217
102,217
103,217
104,217
105,217
106,217
107,217
108,217
109,217
110,217
111,217
112,217
113,217
114,17
115,217
116,217
117,217
118,217
119,217
120,217
121,17
122,217
123,217
124,217
125,217
126,217
127,17
128,217
129,217
130,217
131,217
132,217
133,217
134,217
135,217
136,217
137,217
138,217
139,217
140,217
141,217
142,17
143,217
144,217
145,217
146,217
147,217
148,217
149,217
150,217
151,217
152,217
153,217
154,217
155,217
156,217
157,217
158,217
159,217
160,217
161,217
162,217
163,217
164,217
165,217
166,217
167,217
168,217
169,217
170,217
171,217
172,217
173,217
174,217
175,217
176,217
177,217
178,217
179,217
180,217
181,17
182,217
183,217
184,217
185,217
186,217
187,17
188,217
189,217
190,217
191,217
192,217
193,17
194,217
195,217
196,17
197,217
198,217
199,217
200,217
201,217
202,217
203,217
204,17
205,217
206,217
207,217
208,217
209,217
210,17
211,217
212,217
213,217
214,217
215,217
216,217
217,217
218,217
219,217
220,217
221,217
222,217
223,217
224,217
225,217
226,217
227,217
228,217
229,217
230,217
231,217
232,217
233,217
