Time,org.hibernate.property.MapAccessor$MapGetter Data
0,2630
1,2630
2,2630
3,2630
4,2630
5,2630
6,2630
7,2630
8,2630
9,132
10,2630
11,2630
12,2630
13,2630
14,2630
15,2630
16,2630
17,2630
18,2630
19,2630
20,2630
21,2630
22,2630
23,2630
24,2630
25,2630
26,2630
27,2630
28,2630
29,132
30,2630
31,2630
32,2630
33,2630
34,2630
35,2630
36,2630
37,2630
38,2630
39,2630
40,2630
41,2630
42,2630
43,2630
44,2630
45,2630
46,2630
47,2630
48,2630
49,2630
50,2630
51,2630
52,2630
53,132
54,2630
55,2630
56,2630
57,2630
58,2630
59,2630
60,2630
61,2630
62,132
63,2630
64,2630
65,2630
66,2630
67,2630
68,2630
69,2630
70,2630
71,2630
72,2630
73,2630
74,2630
75,2630
76,2630
77,2630
78,2630
79,2630
80,2630
81,2630
82,2630
83,2630
84,2630
85,2630
86,2630
87,2630
88,2630
89,2630
90,2630
91,2630
92,2630
93,2630
94,2630
95,2630
96,2630
97,2630
98,2630
99,2630
100,2630
101,2630
102,2630
103,2630
104,2630
105,2630
106,2630
107,2630
108,2630
109,2630
110,2630
111,2630
112,2630
113,2630
114,2630
115,2630
116,2630
117,2630
118,2630
119,2630
120,2630
121,2630
122,2630
123,2630
124,2630
125,2630
126,2630
127,2630
128,2630
129,2630
130,2630
131,2630
132,2630
133,2630
134,2630
135,2630
136,2630
137,2630
138,2630
139,2630
140,2630
141,2630
142,2630
143,2630
144,2630
145,2630
146,2630
147,2630
148,2630
149,2630
150,2630
151,2630
152,2630
153,2630
154,2630
155,2630
156,2630
157,2630
158,2630
159,2630
160,2630
161,2630
162,2630
163,2630
164,2630
165,2630
166,2630
167,2630
168,2630
169,2630
170,2630
171,2630
172,2630
173,2630
174,2630
175,2630
176,2630
177,2630
178,2630
179,2630
180,2630
181,2630
182,2630
183,2630
184,2630
185,2630
186,2630
187,2630
188,2630
189,2630
190,2630
191,2630
192,2630
193,2630
194,2630
195,2630
196,2630
197,2630
198,2630
199,2630
200,2630
201,2630
202,2630
203,2630
204,2630
205,2630
206,2630
207,2630
208,2630
209,2630
