Time,org.hibernate.type.ManyToOneType Data
0,1558
1,149
2,1605
3,1637
4,1677
5,1716
6,1748
7,149
8,1789
9,1827
10,1709
11,149
12,1750
13,1790
14,149
15,1822
16,149
17,1862
18,149
19,1902
20,1934
21,1974
22,149
23,2012
24,2046
25,2086
26,149
27,2126
28,1822
29,149
30,1863
31,149
32,1903
33,1935
34,1975
35,2015
36,2054
37,2086
38,149
39,2127
40,149
41,2158
42,149
43,2174
44,149
45,2215
46,1807
47,149
48,1847
49,149
50,1879
51,1919
52,1959
53,1997
54,2031
55,149
56,2071
57,149
58,2110
59,2143
60,2183
61,149
62,2221
63,149
64,1823
65,149
66,1862
67,149
68,1902
69,1935
70,149
71,1976
72,2014
73,2046
74,149
75,2087
76,2127
77,149
78,2159
79,149
80,2199
81,149
82,2240
83,1815
84,1855
85,149
86,1894
87,149
88,1926
89,149
90,1967
91,2006
92,149
93,2046
94,2079
95,2117
96,149
97,2151
98,2189
99,149
100,2222
101,149
102,1824
103,1861
104,149
105,1894
106,149
107,1935
108,1974
109,2007
110,1800
111,149
112,1831
113,149
114,1872
115,1912
116,1951
117,1985
118,2023
119,149
120,2063
121,149
122,2095
123,149
124,2136
125,2174
126,2208
127,1802
128,149
129,1840
130,1874
131,149
132,1914
133,1954
134,1986
135,149
136,2026
137,149
138,2066
139,149
140,2097
141,149
142,2137
143,149
144,2179
145,2217
146,1815
147,1855
148,1894
149,1926
150,149
151,1968
152,2006
153,2039
154,149
155,2079
156,149
157,2119
158,149
159,2151
160,2191
161,149
162,2231
163,149
164,1808
165,1848
166,1888
167,149
168,1920
169,1960
170,2000
171,149
172,2039
173,2072
174,2113
175,2144
176,2183
177,149
178,2225
179,1808
180,1848
181,1889
182,1927
183,1961
184,2000
185,2040
186,149
187,2072
188,2112
189,149
190,2153
191,2185
192,2224
193,1816
194,1853
195,149
196,1888
197,1927
198,149
199,1966
200,2000
201,2039
202,2078
203,2111
204,149
205,2152
206,2184
207,2223
208,1824
209,1854
210,149
211,1895
212,1936
213,1975
214,2007
215,2048
216,2087
217,2119
218,2160
219,2199
220,149
221,2231
222,1815
223,149
224,1856
225,1888
226,1929
227,1970
228,1999
229,149
230,2040
231,149
232,2081
233,2119
234,2153
235,2192
236,149
237,2230
238,1815
239,149
240,1856
241,149
242,1895
243,1928
244,1969
245,2008
246,2041
247,2080
248,149
249,2118
250,149
251,2152
252,149
253,2192
254,2232
255,1814
256,149
257,1855
258,149
259,1894
260,1927
261,1967
262,2008
263,2039
264,2080
265,2118
266,2152
267,2192
268,2232
269,1816
270,1856
271,1897
272,1928
273,1968
274,2008
275,2040
276,149
277,2080
278,149
279,2118
280,149
281,2152
282,149
283,2192
284,149
285,2225
