Time,org.hibernate.util.IdentityMap$IdentityKey Data
0,726
1,1580
2,726
3,726
4,441
5,1129
6,726
7,1415
8,726
9,1647
10,726
11,1459
12,726
13,1498
14,726
15,1316
16,1010
17,660
18,242
19,1562
20,726
21,1227
22,726
23,268
24,1466
25,726
26,1541
27,928
28,726
29,726
30,358
31,1556
32,726
33,726
34,472
35,1593
36,726
37,1830
38,1452
39,1452
40,1362
41,645
42,244
43,243
44,1769
45,726
46,216
47,209
48,1164
49,726
50,1626
51,726
52,1603
53,726
54,1371
55,726
56,216
57,1743
58,1452
59,726
60,373
61,661
62,322
63,1680
64,726
65,684
66,258
67,1885
68,726
69,1460
70,726
71,1647
72,726
73,860
74,1039
75,726
76,286
77,1862
78,1452
79,1657
80,726
81,839
82,726
83,1665
84,726
85,726
86,726
87,444
88,1756
89,726
90,838
91,726
92,1049
93,1796
94,726
95,726
96,1495
97,726
98,2266
99,726
100,1754
101,726
102,232
103,1325
104,910
105,726
106,1665
107,726
108,2380
109,726
110,1921
111,726
112,752
113,726
114,655
115,1448
116,726
117,726
118,431
119,1453
120,1448
121,726
122,654
123,1055
124,726
125,1574
126,726
127,668
128,276
129,616
130,936
131,726
132,1041
133,2630
134,1452
135,2927
136,1452
137,1611
138,726
139,1593
140,726
141,1428
142,726
143,2440
144,1452
145,2242
146,726
147,672
148,726
149,295
150,1113
151,726
152,950
153,726
154,246
155,1639
156,726
157,1019
158,726
159,726
160,246
161,1774
162,726
163,1037
164,726
165,726
166,283
167,2803
168,1452
169,726
170,408
171,3217
172,1452
173,1908
174,726
175,2414
176,1452
177,2979
178,726
179,726
180,413
181,3140
182,1452
183,1742
184,1452
185,2742
186,1452
187,1683
188,726
189,859
190,1616
191,726
192,209
193,1893
194,1452
195,2788
196,1452
197,1665
198,726
199,3182
200,1452
201,761
202,726
203,1978
204,726
205,896
206,2353
207,690
208,3164
209,1452
210,1557
211,726
212,3023
213,1452
214,242
215,1888
216,1353
217,3299
218,942
219,726
220,436
221,3222
222,1452
223,1343
224,1720
225,726
226,3263
227,1452
228,1538
229,726
230,1716
231,726
232,3263
233,1452
234,1538
235,726
236,1662
237,726
238,3200
239,1452
240,1387
241,591
242,1057
243,1463
244,726
245,1551
246,2432
247,726
248,3449
249,1452
250,950
251,1881
252,1452
253,1823
254,1452
255,3177
256,1452
257,214
258,1379
259,726
260,1380
261,1685
262,1452
263,1683
264,726
265,3022
266,726
267,3264
268,1452
269,3329
270,1452
271,214
272,1322
273,726
274,863
275,1611
276,726
277,2376
278,726
279,726
280,301
281,1449
282,726
283,726
284,472
285,1629
286,726
287,1734
288,726
289,1558
290,726
291,1848
292,726
293,2468
294,1452
295,1863
296,726
297,2566
298,726
299,3168
300,1452
301,928
302,726
303,1590
304,726
305,1732
306,726
307,877
308,726
309,1504
310,726
311,1621
312,726
313,759
314,1435
315,726
316,286
317,361
318,3411
319,1452
