Time,org.postgresql.core.Encoding Data
0,233
1,308
2,312
3,311
4,311
5,161
6,311
7,311
8,236
9,235
10,238
11,238
12,163
13,238
14,238
15,233
16,234
17,235
18,235
19,385
20,385
21,85
22,231
23,237
24,159
25,311
26,318
27,314
28,386
29,236
30,161
31,461
32,236
33,236
34,189
35,233
36,384
37,308
38,385
39,312
40,161
41,316
42,266
43,266
44,341
45,491
46,235
47,160
48,312
49,237
50,237
51,236
52,160
53,161
54,309
55,384
56,235
57,386
58,462
59,387
60,156
61,259
62,336
63,337
64,413
65,413
66,187
67,262
68,262
69,337
70,337
71,338
72,372
73,224
74,299
75,300
76,256
77,225
78,300
79,225
80,150
81,526
82,526
83,236
84,312
85,163
86,389
87,314
88,238
89,163
90,238
91,238
92,233
93,234
94,236
95,310
96,235
97,443
98,293
99,519
100,368
101,218
102,518
103,383
104,459
105,460
106,536
107,385
108,310
109,385
110,235
111,460
112,536
113,385
114,307
115,308
116,309
117,235
118,300
119,460
120,310
121,460
122,160
123,379
124,335
125,310
126,382
127,233
128,384
129,535
130,385
131,385
132,535
133,385
134,385
135,535
136,374
137,235
138,232
139,383
140,309
141,386
142,536
143,235
144,309
145,490
146,566
147,566
148,265
149,415
150,232
151,308
152,534
153,385
154,460
155,536
156,536
157,310
158,385
159,311
160,386
161,428
162,233
163,384
164,385
165,312
166,387
167,387
168,387
169,462
170,537
171,387
172,462
173,612
174,308
175,309
176,311
177,311
178,311
179,386
180,236
181,259
182,311
183,236
184,236
185,462
