Time,org.postgresql.core.Logger Data
0,158
1,233
2,237
3,236
4,236
5,161
6,236
7,236
8,161
9,142
10,163
11,163
12,163
13,163
14,163
15,163
16,163
17,88
18,163
19,158
20,160
21,235
22,235
23,85
24,160
25,85
26,159
27,235
28,239
29,239
30,311
31,236
32,161
33,311
34,161
35,236
36,175
37,233
38,309
39,235
40,310
41,236
42,161
43,240
44,265
45,265
46,265
47,340
48,159
49,160
50,86
51,236
52,161
53,161
54,161
55,161
56,160
57,161
58,233
59,309
60,235
61,311
62,386
63,311
64,156
65,259
66,260
67,261
68,337
69,337
70,187
71,262
72,262
73,262
74,262
75,262
76,297
77,223
78,224
79,225
80,225
81,225
82,225
83,225
84,150
85,375
86,375
87,237
88,163
89,238
90,238
91,163
92,163
93,163
94,163
95,163
96,158
97,159
98,235
99,160
100,293
101,218
102,368
103,293
104,218
105,368
106,308
107,309
108,310
109,385
110,310
111,310
112,310
113,235
114,310
115,385
116,310
117,233
118,234
119,235
120,230
121,310
122,235
123,310
124,160
125,235
126,235
127,235
128,232
129,233
130,309
131,385
132,310
133,310
134,385
135,310
136,310
137,385
138,309
139,235
140,232
141,308
142,309
143,310
144,385
145,235
146,309
147,340
148,415
149,415
150,265
151,340
152,232
153,308
154,384
155,310
156,385
157,385
158,385
159,310
160,310
161,310
162,310
163,352
164,233
165,309
166,310
167,236
168,311
169,311
170,311
171,386
172,386
173,311
174,386
175,461
176,233
177,234
178,235
179,236
180,236
181,311
182,236
183,236
184,236
185,236
186,236
187,311
