Time,org.postgresql.core.VisibleBufferedInputStream Data
0,157
1,232
2,236
3,235
4,235
5,160
6,235
7,235
8,160
9,141
10,162
11,162
12,162
13,162
14,162
15,162
16,87
17,162
18,157
19,159
20,234
21,234
22,84
23,159
24,84
25,158
26,234
27,238
28,238
29,310
30,235
31,160
32,310
33,160
34,235
35,174
36,232
37,308
38,234
39,309
40,235
41,160
42,239
43,264
44,264
45,264
46,339
47,158
48,159
49,85
50,235
51,160
52,160
53,160
54,160
55,159
56,160
57,232
58,308
59,234
60,310
61,385
62,310
63,155
64,258
65,259
66,260
67,336
68,336
69,186
70,261
71,261
72,261
73,261
74,261
75,296
76,222
77,223
78,224
79,224
80,224
81,224
82,224
83,149
84,374
85,374
86,236
87,162
88,237
89,237
90,162
91,162
92,162
93,162
94,162
95,157
96,158
97,234
98,159
99,292
100,217
101,367
102,292
103,217
104,367
105,307
106,308
107,309
108,384
109,309
110,309
111,309
112,234
113,309
114,384
115,309
116,232
117,233
118,234
119,229
120,309
121,234
122,309
123,159
124,234
125,234
126,234
127,231
128,232
129,308
130,384
131,309
132,309
133,384
134,309
135,309
136,384
137,308
138,234
139,231
140,307
141,308
142,309
143,384
144,234
145,308
146,339
147,414
148,414
149,264
150,339
151,231
152,307
153,383
154,309
155,384
156,384
157,384
158,309
159,309
160,309
161,309
162,351
163,232
164,308
165,309
166,235
167,310
168,310
169,310
170,385
171,385
172,310
173,385
174,460
175,232
176,233
177,234
178,235
179,235
180,310
181,235
182,235
183,235
184,235
185,235
186,310
