Time,org.postgresql.jdbc4.Jdbc4PreparedStatement Data
0,586
1,412
2,1009
3,610
4,772
5,612
6,902
7,610
8,929
9,610
10,660
11,412
12,961
13,610
14,920
15,610
16,114
17,16
18,788
19,416
20,706
21,339
22,638
23,420
24,587
25,420
26,761
27,420
28,792
29,420
30,600
31,420
32,748
33,420
34,776
35,420
36,556
37,222
38,808
39,420
40,167
41,773
42,416
43,829
44,420
45,784
46,420
47,854
48,420
49,918
50,618
51,943
52,618
53,535
54,222
55,639
56,420
57,659
58,222
59,531
60,222
61,776
62,420
63,452
64,218
65,976
66,420
67,1114
68,618
69,1094
70,626
71,1116
72,624
73,1133
74,820
75,912
76,622
77,934
78,424
79,1281
80,820
81,1004
82,424
83,1032
84,622
85,990
86,490
87,365
88,214
89,789
90,614
91,1218
92,816
93,797
94,619
95,1201
96,817
97,1087
98,619
99,694
100,421
101,1041
102,630
103,982
104,619
105,1006
106,619
107,937
108,619
109,1270
110,817
111,486
112,215
113,845
114,417
115,775
116,421
117,654
118,223
119,979
120,619
121,795
122,425
123,843
124,425
125,1077
126,421
127,791
128,425
129,845
130,421
131,768
132,415
133,686
134,421
135,845
136,614
137,1105
138,816
139,1034
140,618
141,1180
142,820
143,1434
144,1018
145,1362
146,816
147,714
148,372
149,1158
150,570
151,1164
152,574
153,1358
154,582
155,1437
156,780
157,1443
158,776
159,1060
160,384
161,1107
162,582
163,1154
164,578
165,1138
166,582
167,1294
168,582
169,1134
170,578
171,388
172,214
173,1040
174,784
175,864
176,586
177,897
178,594
179,1039
180,594
181,865
182,590
183,826
184,594
185,896
186,594
187,843
188,590
189,718
190,396
191,1256
192,990
193,1223
194,990
195,423
196,219
197,957
198,421
199,977
200,623
201,681
202,426
203,1132
204,624
205,1072
206,624
207,798
208,426
209,756
210,426
211,761
212,426
213,879
214,426
215,842
216,426
217,762
218,426
219,413
220,215
221,842
222,417
223,791
224,421
225,986
226,421
227,900
228,619
229,760
230,421
231,1212
232,619
233,803
234,421
235,1324
236,817
237,1073
238,619
239,789
240,421
241,1190
242,817
243,916
244,412
245,1227
246,812
247,1574
248,816
249,1390
250,817
251,1549
252,1015
253,1390
254,817
255,1223
256,817
257,1322
258,817
259,1073
260,619
261,1432
262,817
263,1601
264,1015
265,1403
266,817
267,760
268,413
269,912
270,615
271,1172
272,619
273,1025
274,619
275,1297
276,605
277,1379
278,817
279,1093
280,619
281,1341
282,817
283,813
284,421
285,1194
286,619
287,1349
288,619
289,924
290,619
291,1180
292,610
293,1448
294,614
295,1569
296,816
297,1837
298,1014
299,1517
300,816
301,1548
302,816
303,1848
304,1014
305,1515
306,816
307,1559
308,816
309,1803
310,1014
311,1561
312,812
313,1477
314,618
315,1223
316,610
317,1581
318,812
319,1593
320,814
321,1794
322,814
323,1956
324,1014
325,1290
326,618
327,1543
328,774
329,1749
330,816
331,1724
332,1014
333,1923
334,1014
335,1440
336,618
337,1542
338,816
339,1010
340,610
341,1366
342,812
343,1569
344,1014
345,1477
346,816
347,1744
348,1014
349,1817
350,1014
351,1707
352,1012
353,1271
354,814
355,1321
356,816
357,1326
358,812
359,1441
360,816
361,1594
362,906
363,1057
364,610
365,1332
366,816
367,1417
368,820
369,1299
370,622
371,1453
372,820
373,1602
374,820
375,1404
376,820
377,1615
378,1018
379,1642
380,1018
381,1593
382,816
383,1730
384,1018
385,1835
386,1212
387,1229
388,614
389,1332
390,618
391,1467
392,622
393,1291
394,622
395,1336
396,622
397,1430
398,820
399,1266
400,622
401,1285
402,622
403,1171
404,622
405,1246
406,622
407,1263
408,622
409,1672
410,820
