Time,org.postgresql.jdbc4.Jdbc4ResultSet Data
0,281
1,158
2,783
3,158
4,427
5,159
6,725
7,158
8,726
9,158
10,214
11,801
12,158
13,733
14,158
15,46
16,717
17,158
18,568
19,578
20,282
21,120
22,722
23,158
24,684
25,158
26,275
27,679
28,158
29,668
30,186
31,623
32,158
33,54
34,344
35,158
36,723
37,158
38,367
39,158
40,735
41,158
42,883
43,308
44,814
45,308
46,131
47,276
48,118
49,138
50,181
51,769
52,159
53,163
54,261
55,728
56,160
57,791
58,163
59,785
60,160
61,764
62,159
63,304
64,237
65,916
66,309
67,338
68,159
69,508
70,311
71,64
72,192
73,247
74,856
75,158
76,350
77,135
78,932
79,158
80,729
81,159
82,190
83,798
84,159
85,616
86,652
87,386
88,159
89,969
90,309
91,659
92,157
93,560
94,159
95,191
96,151
97,805
98,159
99,287
100,159
101,362
102,159
103,763
104,159
105,570
106,157
107,597
108,190
109,200
110,820
111,155
112,362
113,157
114,261
115,811
116,157
117,1186
118,159
119,870
120,159
121,215
122,704
123,683
124,162
125,843
126,160
127,1240
128,160
129,978
130,160
131,264
132,611
133,313
134,589
135,158
136,774
137,158
138,455
139,160
140,555
141,781
142,158
143,486
144,701
145,158
146,780
147,158
148,378
149,57
150,489
151,666
152,158
153,601
154,199
155,1352
156,312
157,1352
158,310
159,641
160,153
161,729
162,156
163,723
164,156
165,202
166,1151
167,308
168,1047
169,158
170,445
171,324
172,156
173,237
174,669
175,156
176,584
177,317
178,156
179,647
180,153
181,634
182,156
183,316
184,158
185,767
186,158
187,699
188,156
189,326
190,158
191,1234
192,308
193,349
194,156
195,1394
196,308
197,862
198,156
199,215
200,1204
201,306
202,1114
203,153
204,464
205,156
206,1374
207,306
208,921
209,306
210,1378
211,310
212,853
213,158
214,667
215,845
216,156
217,309
218,984
219,306
220,1386
221,308
222,858
223,158
224,1235
225,303
226,426
227,158
228,903
229,160
230,622
231,1118
232,152
233,1371
234,306
235,781
236,158
237,1328
238,306
239,262
240,876
241,265
242,1306
243,194
244,409
245,158
246,1306
247,305
248,658
249,872
250,160
251,1468
252,308
253,839
254,160
255,874
256,160
257,1460
258,308
259,833
260,160
261,859
262,160
263,1446
264,308
265,762
266,110
267,669
268,248
269,814
270,158
271,775
272,1179
273,157
274,1525
275,308
276,251
277,686
278,977
279,306
280,996
281,310
282,1432
283,308
284,318
285,767
286,158
287,249
288,747
289,965
290,307
291,857
292,157
293,1354
294,159
295,1461
296,309
297,1466
298,311
299,373
300,754
301,157
302,632
303,842
304,159
305,1158
306,159
307,263
308,433
309,157
310,784
311,157
312,420
313,159
314,850
315,161
316,892
317,159
318,830
319,159
320,979
321,159
322,1307
323,309
324,919
325,159
326,1289
327,159
328,1482
329,309
330,636
331,157
332,787
333,157
334,843
335,159
336,616
337,157
338,771
339,157
340,848
341,157
342,528
343,705
344,45
345,335
346,157
347,337
348,355
349,1438
350,309
