Time,org.springframework.http.MediaType Data
0,290
1,416
2,368
3,213
4,381
5,384
6,218
7,486
8,266
9,430
10,176
11,440
12,222
13,288
14,389
15,197
16,250
17,424
18,214
19,459
20,246
21,323
22,452
23,238
24,414
25,209
26,226
27,347
28,218
29,96
30,383
31,438
32,226
33,463
34,252
35,448
36,234
37,631
38,335
39,515
40,283
41,170
42,280
43,199
44,334
45,196
46,560
47,330
48,260
49,132
50,281
51,489
52,278
53,480
54,262
55,466
56,250
57,363
58,268
59,140
60,208
61,587
62,319
63,407
64,204
65,299
66,296
67,324
68,168
69,194
70,563
71,289
72,250
73,594
74,325
75,410
76,184
77,494
78,274
79,277
80,389
81,197
82,296
83,604
84,319
85,500
86,278
87,383
88,185
89,184
90,212
91,508
92,286
93,337
94,424
95,228
96,560
97,330
98,361
99,403
100,209
101,170
102,208
103,514
104,290
105,248
106,236
107,398
108,537
109,283
110,550
111,322
112,276
113,343
114,421
115,209
116,504
117,274
118,573
119,287
120,620
121,374
122,212
123,275
124,250
125,397
126,438
127,218
128,435
129,220
130,370
131,446
132,226
133,405
134,208
135,439
136,222
137,460
138,238
139,402
140,208
141,349
142,369
143,238
144,220
145,707
146,392
147,658
148,348
149,458
150,242
151,438
152,226
153,392
154,198
155,707
156,403
157,605
158,326
159,383
160,196
161,336
162,184
163,459
164,246
165,347
166,308
167,486
168,266
169,403
170,323
171,578
172,346
173,417
174,322
175,580
176,320
177,407
178,204
179,758
180,440
181,570
182,306
183,254
184,128
185,693
186,391
187,670
188,375
189,421
190,216
191,730
192,416
193,564
194,323
195,769
196,452
197,522
198,298
199,291
200,476
201,258
202,254
203,647
204,350
205,811
206,488
207,508
208,286
209,740
210,424
211,365
212,209
213,664
214,385
215,305
216,527
217,284
218,702
219,395
220,424
221,214
222,698
223,408
224,278
225,148
226,604
227,322
228,858
229,491
230,435
231,228
232,754
233,436
234,350
235,536
236,310
237,804
238,480
239,424
240,550
241,322
242,804
243,480
244,424
245,214
246,504
247,282
248,772
249,452
250,322
251,403
252,209
253,184
254,378
255,414
256,209
257,657
258,367
259,876
260,507
261,212
262,347
263,622
264,338
265,606
266,359
267,706
268,395
269,270
270,352
271,184
272,326
273,536
274,302
275,522
276,298
277,626
278,331
279,834
280,471
281,814
282,488
283,270
284,343
285,369
286,185
287,466
288,250
289,573
290,295
291,226
292,351
293,406
294,463
295,252
296,476
297,258
298,563
299,289
300,452
301,230
302,594
303,325
304,657
305,356
306,592
307,358
308,657
309,367
310,720
311,408
312,443
313,229
314,456
315,234
316,498
317,270
318,459
319,233
320,418
321,484
322,262
323,391
324,196
325,372
326,304
327,334
328,155
329,293
330,896
331,552
