Time,org.springframework.util.LinkedCaseInsensitiveMap Data
0,146
1,132
2,235
3,194
4,216
5,207
6,206
7,166
8,206
9,161
10,76
11,71
12,300
13,264
14,248
15,208
16,37
17,257
18,213
19,114
20,72
21,212
22,184
23,105
24,90
25,241
26,199
27,277
28,241
29,151
30,121
31,267
32,227
33,231
34,198
35,82
36,76
37,173
38,129
39,76
40,71
41,206
42,170
43,254
44,213
45,281
46,248
47,264
48,222
49,417
50,340
51,329
52,284
53,116
54,76
55,52
56,183
57,183
58,368
59,334
60,115
61,113
62,112
63,79
64,308
65,278
66,293
67,255
68,280
69,241
70,197
71,171
72,121
73,118
74,66
75,57
76,379
77,321
78,229
79,192
80,128
81,99
82,127
83,94
84,166
85,155
86,53
87,43
88,349
89,286
90,105
91,90
92,382
93,328
94,228
95,185
96,43
97,34
98,306
99,269
100,108
101,72
102,212
103,184
104,147
105,133
106,392
107,321
108,313
109,278
110,206
111,170
112,43
113,34
114,69
115,62
116,319
117,283
118,164
119,122
120,249
121,220
122,368
123,334
124,186
125,143
126,225
127,198
128,66
129,57
130,326
131,292
132,94
133,66
134,92
135,85
136,218
137,171
138,333
139,279
140,358
141,325
142,113
143,88
144,170
145,137
146,242
147,202
148,316
149,273
150,358
151,288
152,423
153,390
154,69
155,57
156,103
157,105
158,94
159,219
160,179
161,254
162,208
163,255
164,215
165,193
166,151
167,260
168,213
169,225
170,197
171,257
172,213
173,273
174,227
175,231
176,197
177,173
178,141
179,192
180,143
181,83
182,58
183,75
184,62
185,481
186,406
187,432
188,350
189,274
190,236
191,254
192,213
193,212
194,166
195,56
196,48
197,482
198,419
199,388
200,329
201,206
202,183
203,168
204,131
205,43
206,277
207,241
208,173
209,142
210,142
211,103
212,300
213,264
214,225
215,185
216,151
217,108
218,384
219,353
220,238
221,199
222,155
223,114
224,379
225,322
226,229
227,192
228,527
229,457
230,359
231,306
232,108
233,104
234,469
235,405
236,446
237,386
238,242
239,206
240,501
241,429
242,371
243,326
244,540
245,476
246,332
247,297
248,121
249,86
250,290
251,250
252,108
253,104
254,427
255,357
256,579
257,518
258,319
259,283
260,511
261,443
262,210
263,198
264,447
265,398
266,134
267,100
268,329
269,285
270,475
271,405
272,241
273,199
274,479
275,420
276,131
277,127
278,392
279,325
280,603
281,517
282,255
283,220
284,524
285,457
286,173
287,137
288,345
289,311
290,569
291,504
292,241
293,199
294,358
295,325
296,569
297,504
298,241
299,199
300,316
301,278
302,540
303,471
304,147
305,100
306,225
307,198
308,43
309,199
310,152
311,231
312,198
313,436
314,377
315,619
316,535
317,69
318,62
319,173
320,142
321,408
322,343
323,410
324,368
325,478
326,405
327,106
328,79
329,191
330,163
331,43
332,150
333,109
334,345
335,301
336,332
337,297
338,403
339,335
340,580
341,493
342,579
343,513
344,106
345,79
346,170
347,129
348,193
349,170
350,280
351,241
352,358
353,293
354,82
355,76
356,177
357,136
358,225
359,180
360,281
361,248
362,290
363,250
364,349
365,286
366,267
367,222
368,382
369,328
370,436
371,364
372,397
373,367
374,436
375,377
376,491
377,420
378,261
379,221
380,270
381,222
382,309
383,264
384,272
385,226
386,234
387,185
388,296
389,255
390,212
391,183
392,192
393,142
394,153
395,133
396,164
397,135
398,121
399,85
400,653
401,588
