Time,sun.net.www.protocol.file.FileURLConnection Data
0,42
1,72
2,70
3,60
4,60
5,92
6,75
7,73
8,63
9,72
10,88
11,41
12,79
13,73
14,47
15,71
16,76
17,85
18,84
19,116
20,108
21,44
22,120
23,37
24,100
25,96
26,84
27,69
28,37
29,133
30,69
31,35
32,49
33,108
34,121
35,67
36,100
37,63
38,41
39,120
40,104
41,63
42,104
43,48
44,77
45,127
46,50
47,67
48,109
49,63
50,110
51,124
52,47
53,79
54,103
55,114
56,145
57,30
58,75
59,75
60,77
61,60
62,83
63,70
64,79
65,80
66,65
67,55
68,51
69,155
70,143
71,92
72,76
73,59
74,163
75,126
76,67
77,87
78,51
79,100
80,71
81,41
82,124
83,75
84,131
85,69
86,172
87,121
88,32
89,159
90,147
91,81
92,164
93,124
94,183
95,108
96,93
97,33
98,137
99,195
100,104
101,172
102,73
103,152
104,114
105,160
106,72
107,163
108,39
109,117
110,192
111,77
112,176
113,44
114,112
115,188
116,72
117,116
118,188
119,72
120,104
121,184
122,67
123,59
124,69
125,147
126,205
127,51
128,133
129,136
130,160
131,59
132,120
133,108
134,132
135,196
136,199
137,51
138,59
139,84
140,114
141,50
142,65
143,85
144,94
145,112
146,88
147,121
148,142
149,137
150,139
151,164
152,83
153,87
154,99
155,87
156,76
157,96
158,67
159,48
160,40
161,41
162,220
