Time,sun.net.www.protocol.http.HttpURLConnection Data
0,27
1,23
2,25
3,32
4,28
5,27
6,23
7,27
8,28
9,18
10,29
11,25
12,22
13,28
14,28
15,29
16,43
17,32
18,15
19,18
20,37
21,15
22,30
23,31
24,30
25,39
26,24
27,16
28,16
29,16
30,38
31,40
32,26
33,32
34,23
35,41
36,31
37,22
38,33
39,19
40,25
41,37
42,24
43,32
44,24
45,36
46,36
47,20
48,24
49,32
50,38
51,40
52,27
53,25
54,22
55,29
56,24
57,27
58,30
59,24
60,20
61,22
62,49
63,47
64,28
65,28
66,25
67,48
68,41
69,22
70,28
71,30
72,24
73,18
74,38
75,25
76,18
77,39
78,24
79,54
80,38
81,47
82,46
83,25
84,52
85,37
86,53
87,34
88,31
89,44
90,56
91,33
92,51
93,20
94,45
95,34
96,50
97,27
98,49
99,41
100,62
101,26
102,52
103,22
104,35
105,57
106,27
107,36
108,57
109,27
110,33
111,55
112,24
113,24
114,25
115,45
116,63
117,42
118,40
119,50
120,14
121,19
122,35
123,34
124,43
125,60
126,58
127,14
128,21
129,30
130,39
131,20
132,26
133,28
134,31
135,38
136,28
137,40
138,45
139,39
140,45
141,51
142,27
143,30
144,33
145,28
146,27
147,32
148,23
149,24
150,19
151,16
152,64
