Time,sun.nio.cs.StreamEncoder Data
0,311
1,422
2,411
3,414
4,419
5,251
6,433
7,425
8,82
9,337
10,236
11,271
12,326
13,353
14,353
15,267
16,356
17,279
18,176
19,343
20,81
21,334
22,347
23,339
24,354
25,514
26,502
27,166
28,322
29,170
30,169
31,362
32,163
33,245
34,425
35,433
36,429
37,497
38,331
39,249
40,593
41,344
42,335
43,285
44,168
45,312
46,507
47,398
48,514
49,423
50,242
51,435
52,362
53,376
54,432
55,622
56,264
57,331
58,242
59,174
60,431
61,328
62,342
63,361
64,336
65,273
66,244
67,249
68,423
69,473
70,326
71,493
72,595
73,519
74,236
75,365
76,446
77,455
78,549
79,547
80,272
81,359
82,355
83,444
84,453
85,449
86,196
87,493
88,336
89,414
90,420
91,365
92,338
93,411
94,335
95,248
96,681
97,681
98,270
99,348
100,421
101,249
102,525
103,450
104,269
105,344
106,250
107,355
108,272
109,337
110,268
111,340
112,334
113,368
114,424
115,331
116,579
117,402
118,667
119,502
120,314
121,664
122,362
123,495
124,607
125,586
126,693
127,514
128,414
129,509
130,331
131,599
132,694
133,516
134,445
135,408
136,444
137,336
138,432
139,612
140,427
141,611
142,257
143,512
144,494
145,419
146,527
147,340
148,516
149,705
150,510
151,516
152,697
153,503
154,513
155,697
156,485
157,354
158,316
159,490
160,423
161,530
162,702
163,322
164,418
165,622
166,703
167,721
168,357
169,524
170,312
171,407
172,654
173,507
174,597
175,697
176,693
177,400
178,488
179,417
180,505
181,563
182,320
183,482
184,494
185,413
186,505
187,513
188,504
189,593
190,677
191,521
192,603
193,768
194,411
195,422
196,430
197,419
198,425
199,505
200,348
201,363
202,407
203,334
204,333
205,626
