Time,sun.nio.cs.UTF_8$Encoder Data
0,1027
1,1388
2,1317
3,1294
4,1297
5,1068
6,1356
7,1338
8,341
9,807
10,684
11,755
12,746
13,836
14,857
15,715
16,875
17,766
18,581
19,812
20,335
21,779
22,836
23,809
24,846
25,1063
26,1033
27,540
28,723
29,553
30,690
31,916
32,486
33,660
34,989
35,982
36,982
37,1052
38,816
39,683
40,1194
41,846
42,808
43,756
44,454
45,684
46,1025
47,835
48,1048
49,908
50,619
51,947
52,783
53,857
54,840
55,1152
56,659
57,786
58,639
59,603
60,998
61,758
62,813
63,924
64,813
65,779
66,620
67,694
68,875
69,939
70,807
71,1053
72,1227
73,1140
74,568
75,905
76,969
77,1020
78,1187
79,1186
80,694
81,852
82,841
83,974
84,1013
85,983
86,498
87,995
88,782
89,904
90,885
91,817
92,814
93,887
94,813
95,648
96,1321
97,1323
98,606
99,812
100,888
101,642
102,1110
103,1022
104,719
105,780
106,623
107,863
108,755
109,756
110,620
111,837
112,773
113,910
114,946
115,745
116,1185
117,898
118,1331
119,1095
120,756
121,1300
122,882
123,1087
124,1325
125,1242
126,1475
127,1157
128,972
129,1146
130,853
131,1294
132,1480
133,1175
134,926
135,909
136,1091
137,835
138,1038
139,1310
140,951
141,1307
142,735
143,1112
144,1214
145,971
146,1114
147,950
148,1232
149,1534
150,1160
151,1232
152,1523
153,1146
154,1204
155,1517
156,1094
157,990
158,854
159,1110
160,1049
161,1266
162,1534
163,867
164,1027
165,1327
166,1447
167,1523
168,912
169,1159
170,778
171,918
172,1274
173,1136
174,1260
175,1434
176,1432
177,890
178,1022
179,960
180,1094
181,1180
182,856
183,1038
184,1100
185,1006
186,1158
187,1167
188,1145
189,1286
190,1410
191,1221
192,1331
193,1541
194,1021
195,1041
196,1048
197,1002
198,1041
199,1147
200,915
201,935
202,959
203,882
204,862
205,1467
