Time,sun.reflect.DelegatingMethodAccessorImpl Data
0,1816
1,2549
2,2549
3,2549
4,2549
5,2549
6,2549
7,2549
8,2143
9,2143
10,2143
11,2143
12,2143
13,2143
14,2143
15,2143
16,2143
17,2143
18,2143
19,2143
20,2134
21,2137
22,2137
23,2137
24,2137
25,2137
26,2137
27,2137
28,2137
29,2137
30,2139
31,2139
32,2139
33,2139
34,2139
35,2139
36,2139
37,2139
38,2139
39,2139
40,2139
41,2139
42,2139
43,2139
44,2135
45,2135
46,2135
47,2135
48,2135
49,2135
50,2135
51,2135
52,2135
53,2135
54,2135
55,2135
56,2135
57,2135
58,2135
59,2135
60,2135
61,2135
62,2135
63,2135
64,2135
65,2135
66,2135
67,2135
68,2135
69,2135
70,2135
71,2135
72,2135
73,2135
74,2135
75,2135
76,2135
77,2135
78,2135
79,2135
80,2135
81,2135
82,2135
83,2135
84,2135
85,2135
86,2135
87,2135
88,2135
89,2135
90,2135
91,2135
92,2135
93,2135
94,2135
95,2135
96,2135
97,2135
98,2135
99,2135
100,2135
101,2135
102,2135
103,2135
104,2135
105,2135
106,2135
107,2135
108,2135
109,2135
110,2135
111,2135
112,2135
113,2135
114,2135
115,2135
116,2135
117,2135
118,2135
119,2135
120,2135
121,2135
122,2135
123,2135
124,2135
125,2135
126,2135
127,2135
128,2135
129,2135
130,2135
131,2135
132,2135
133,2135
134,2135
135,2135
136,2135
137,2135
138,2135
139,2135
140,2135
141,2135
142,2135
143,2135
144,2135
145,2135
146,2135
147,2135
148,2135
149,2135
150,2135
151,2135
152,2135
153,2135
154,2135
155,2135
156,2136
157,2136
158,2136
159,2136
160,2136
161,2136
162,2136
163,2136
164,2136
165,2136
166,2136
167,2136
168,2136
169,2136
170,2135
171,2135
172,2135
173,2135
174,2135
175,2135
176,2135
177,2135
178,2135
179,2135
180,2135
181,2135
182,2135
183,2135
184,2135
185,2135
186,2135
187,2135
188,2135
189,2135
190,2135
191,2135
192,2135
193,2135
194,2135
195,2135
196,2135
197,2135
198,2135
199,2135
200,2135
201,2136
202,2136
203,2136
204,2136
205,2136
