Time,sun.reflect.NativeConstructorAccessorImpl Data
0,4895
1,5393
2,5395
3,5395
4,5395
5,5395
6,5395
7,5395
8,5011
9,5011
10,5011
11,5011
12,5011
13,5011
14,5011
15,5011
16,5011
17,5011
18,5011
19,5011
20,4964
21,4972
22,4972
23,4972
24,4972
25,4972
26,4972
27,4972
28,4972
29,4972
30,4974
31,4974
32,4974
33,4974
34,4974
35,4974
36,4974
37,4974
38,4974
39,4974
40,4974
41,4974
42,4974
43,4974
44,4967
45,4967
46,4969
47,4969
48,4969
49,4969
50,4969
51,4969
52,4969
53,4969
54,4969
55,4969
56,4969
57,4969
58,4969
59,4969
60,4969
61,4969
62,4969
63,4969
64,4969
65,4969
66,4969
67,4969
68,4969
69,4969
70,4969
71,4969
72,4969
73,4969
74,4969
75,4969
76,4969
77,4969
78,4969
79,4969
80,4969
81,4969
82,4969
83,4969
84,4969
85,4969
86,4967
87,4967
88,4967
89,4967
90,4967
91,4967
92,4967
93,4967
94,4967
95,4967
96,4967
97,4967
98,4967
99,4967
100,4967
101,4967
102,4967
103,4967
104,4967
105,4967
106,4967
107,4967
108,4967
109,4967
110,4967
111,4967
112,4967
113,4967
114,4967
115,4967
116,4967
117,4967
118,4967
119,4967
120,4967
121,4967
122,4967
123,4967
124,4967
125,4967
126,4967
127,4967
128,4967
129,4967
130,4967
131,4967
132,4967
133,4967
134,4967
135,4967
136,4967
137,4967
138,4967
139,4967
140,4967
141,4967
142,4967
143,4967
144,4967
145,4967
146,4967
147,4967
148,4967
149,4967
150,4967
151,4967
152,4967
153,4967
154,4967
155,4967
156,4968
157,4968
158,4968
159,4968
160,4968
161,4968
162,4968
163,4968
164,4968
165,4968
166,4968
167,4968
168,4968
169,4968
170,4967
171,4967
172,4967
173,4967
174,4967
175,4967
176,4967
177,4967
178,4967
179,4967
180,4967
181,4967
182,4967
183,4967
184,4967
185,4967
186,4967
187,4967
188,4967
189,4967
190,4967
191,4967
192,4967
193,4967
194,4967
195,4967
196,4967
197,4967
198,4967
199,4967
200,4967
201,4968
202,4968
203,4968
204,4968
205,4969
