Time,sun.reflect.annotation.AnnotationInvocationHandler Data
0,27274
1,41208
2,41128
3,41198
4,41208
5,41108
6,41208
7,41208
8,40995
9,41095
10,41076
11,41076
12,41005
13,41105
14,41095
15,41062
16,41105
17,41076
18,41005
19,41095
20,40995
21,41088
22,41109
23,41076
24,41109
25,41128
26,41118
27,41009
28,41009
29,41069
30,41009
31,41109
32,40999
33,41057
34,41099
35,41109
36,41109
37,41109
38,41009
39,41009
40,41188
41,41076
42,41069
43,41028
44,40999
45,41009
46,41157
47,41009
48,41157
49,41109
50,41009
51,41109
52,41080
53,41080
54,41028
55,41128
56,41099
57,41088
58,41009
59,41009
60,41109
61,41088
62,41076
63,41109
64,41099
65,41080
66,41057
67,41009
68,41099
69,41076
70,41009
71,41099
72,41180
73,41109
74,41039
75,41090
76,41088
77,41109
78,41180
79,41109
80,41009
81,41080
82,41009
83,41088
84,41109
85,41076
86,41080
87,41109
88,41069
89,41099
90,41109
91,41009
92,41069
93,41099
94,41080
95,41009
96,41199
97,41209
98,41099
99,41109
100,41109
101,41009
102,41188
103,41169
104,41069
105,41028
106,41009
107,41099
108,41080
109,41076
110,41099
111,41099
112,41076
113,41109
114,41099
115,41028
116,41199
117,41076
118,41209
119,41169
120,41009
121,41188
122,41180
123,41079
124,41209
125,41128
126,41199
127,41109
128,41080
129,41109
130,41009
131,41176
132,41199
133,41109
134,41199
135,41028
136,41157
137,41080
138,41180
139,41190
140,41109
141,41209
142,41009
143,41109
144,41190
145,41076
146,41199
147,41090
148,41109
149,41209
150,41109
151,41109
152,41209
153,41109
154,41109
155,41209
156,41090
157,41080
158,41009
159,41109
160,41080
161,41180
162,41209
163,41009
164,41080
165,41128
166,41128
167,41194
168,41057
169,41085
170,41009
171,41090
172,41176
173,41109
174,41180
175,41257
176,41209
177,41057
178,41109
179,41079
180,41109
181,41180
182,41009
183,41076
184,41109
185,41076
186,41109
187,41157
188,41109
189,41157
190,41199
191,41109
192,41180
193,41209
194,41088
195,41109
196,41109
197,41088
198,41109
199,41109
200,41069
201,41090
202,41028
203,41009
204,41069
205,41209
