Time,sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl Data
0,5803
1,8998
2,8885
3,8987
4,8998
5,8829
6,8998
7,8998
8,7528
9,7697
10,7641
11,7641
12,7544
13,7708
14,7697
15,7610
16,7708
17,7641
18,7539
19,7697
20,7528
21,7673
22,7708
23,7645
24,7708
25,7764
26,7753
27,7539
28,7544
29,7613
30,7539
31,7708
32,7528
33,7589
34,7697
35,7708
36,7708
37,7708
38,7539
39,7539
40,7842
41,7645
42,7617
43,7597
44,7528
45,7539
46,7758
47,7544
48,7758
49,7708
50,7539
51,7708
52,7641
53,7641
54,7595
55,7764
56,7697
57,7673
58,7539
59,7539
60,7708
61,7673
62,7645
63,7708
64,7697
65,7641
66,7585
67,7539
68,7697
69,7645
70,7539
71,7697
72,7810
73,7708
74,7570
75,7650
76,7673
77,7706
78,7808
79,7706
80,7537
81,7639
82,7537
83,7671
84,7706
85,7643
86,7646
87,7713
88,7622
89,7702
90,7713
91,7549
92,7622
93,7702
94,7646
95,7544
96,7871
97,7882
98,7697
99,7708
100,7708
101,7539
102,7842
103,7788
104,7617
105,7597
106,7539
107,7697
108,7641
109,7645
110,7697
111,7697
112,7645
113,7708
114,7697
115,7595
116,7866
117,7645
118,7877
119,7786
120,7539
121,7842
122,7810
123,7652
124,7877
125,7764
126,7866
127,7708
128,7641
129,7708
130,7539
131,7814
132,7866
133,7708
134,7866
135,7595
136,7758
137,7641
138,7806
139,7826
140,7708
141,7877
142,7539
143,7713
144,7826
145,7645
146,7866
147,7652
148,7708
149,7877
150,7708
151,7708
152,7877
153,7708
154,7708
155,7877
156,7657
157,7641
158,7539
159,7708
160,7641
161,7810
162,7879
163,7539
164,7641
165,7766
166,7764
167,7857
168,7589
169,7680
170,7539
171,7650
172,7814
173,7708
174,7810
175,7927
176,7877
177,7589
178,7708
179,7641
180,7708
181,7810
182,7539
183,7645
184,7708
185,7645
186,7708
187,7758
188,7706
189,7758
190,7866
191,7708
192,7810
193,7877
194,7675
195,7708
196,7708
197,7673
198,7708
199,7708
200,7617
201,7657
202,7595
203,7541
204,7617
205,7877
