Time,sun.reflect.generics.repository.FieldRepository Data
0,1806
1,3238
2,3143
3,3229
4,3238
5,3123
6,3238
7,3238
8,3112
9,3227
10,3207
11,3207
12,3121
13,3236
14,3227
15,3190
16,3236
17,3207
18,3121
19,3227
20,3112
21,3217
22,3236
23,3189
24,3236
25,3256
26,3247
27,3121
28,3121
29,3197
30,3121
31,3236
32,3112
33,3169
34,3227
35,3236
36,3236
37,3236
38,3121
39,3121
40,3332
41,3189
42,3197
43,3141
44,3112
45,3121
46,3284
47,3121
48,3284
49,3236
50,3121
51,3236
52,3207
53,3207
54,3141
55,3256
56,3227
57,3217
58,3121
59,3121
60,3236
61,3217
62,3189
63,3236
64,3227
65,3207
66,3169
67,3121
68,3227
69,3189
70,3121
71,3227
72,3322
73,3236
74,3152
75,3216
76,3217
77,3236
78,3322
79,3236
80,3121
81,3207
82,3121
83,3217
84,3236
85,3189
86,3207
87,3236
88,3197
89,3227
90,3236
91,3121
92,3197
93,3227
94,3207
95,3121
96,3342
97,3351
98,3227
99,3236
100,3236
101,3121
102,3332
103,3312
104,3197
105,3141
106,3121
107,3227
108,3207
109,3189
110,3227
111,3227
112,3189
113,3236
114,3227
115,3141
116,3342
117,3189
118,3351
119,3312
120,3121
121,3332
122,3322
123,3196
124,3351
125,3256
126,3342
127,3236
128,3207
129,3236
130,3121
131,3304
132,3342
133,3236
134,3342
135,3141
136,3284
137,3207
138,3322
139,3331
140,3236
141,3351
142,3121
143,3236
144,3331
145,3189
146,3342
147,3216
148,3236
149,3351
150,3236
151,3236
152,3351
153,3236
154,3236
155,3351
156,3216
157,3207
158,3121
159,3236
160,3207
161,3322
162,3351
163,3121
164,3207
165,3256
166,3256
167,3331
168,3169
169,3212
170,3121
171,3216
172,3304
173,3236
174,3322
175,3399
176,3351
177,3169
178,3236
179,3207
180,3236
181,3322
182,3121
183,3189
184,3236
185,3189
186,3236
187,3284
188,3236
189,3284
190,3342
191,3236
192,3322
193,3351
194,3217
195,3236
196,3236
197,3217
198,3236
199,3236
200,3197
201,3216
202,3141
203,3121
204,3197
205,3351
