Time,sun.reflect.generics.tree.ClassTypeSignature Data
0,19007
1,29411
2,29086
3,29388
4,29411
5,28960
6,29411
7,29411
8,23998
9,24449
10,24324
11,24323
12,24031
13,24472
14,24449
15,24221
16,24472
17,24324
18,24021
19,24449
20,23998
21,24379
22,24472
23,24292
24,24472
25,24597
26,24574
27,24021
28,24031
29,24243
30,24021
31,24472
32,23998
33,24167
34,24449
35,24472
36,24472
37,24472
38,24021
39,24021
40,24825
41,24292
42,24249
43,24148
44,23998
45,24021
46,24618
47,24031
48,24618
49,24472
50,24021
51,24472
52,24324
53,24324
54,24146
55,24597
56,24449
57,24374
58,24021
59,24021
60,24472
61,24364
62,24292
63,24472
64,24449
65,24324
66,24161
67,24021
68,24449
69,24292
70,24021
71,24449
72,24774
73,24472
74,24120
75,24343
76,24375
77,24468
78,24771
79,24468
80,24017
81,24320
82,24017
83,24370
84,24468
85,24288
86,24334
87,24482
88,24259
89,24459
90,24482
91,24041
92,24259
93,24458
94,24334
95,24031
96,24910
97,24933
98,24449
99,24472
100,24472
101,24021
102,24825
103,24705
104,24249
105,24148
106,24021
107,24449
108,24324
109,24292
110,24449
111,24448
112,24292
113,24472
114,24449
115,24146
116,24900
117,24292
118,24923
119,24700
120,24021
121,24825
122,24775
123,24307
124,24923
125,24597
126,24900
127,24472
128,24324
129,24472
130,24021
131,24743
132,24900
133,24472
134,24900
135,24146
136,24618
137,24324
138,24769
139,24808
140,24472
141,24923
142,24021
143,24482
144,24808
145,24292
146,24900
147,24347
148,24472
149,24923
150,24472
151,24472
152,24923
153,24472
154,24472
155,24923
156,24357
157,24324
158,24021
159,24472
160,24324
161,24774
162,24925
163,24021
164,24324
165,24599
166,24597
167,24866
168,24167
169,24394
170,24021
171,24343
172,24743
173,24472
174,24775
175,25069
176,24923
177,24167
178,24472
179,24323
180,24472
181,24774
182,24021
183,24292
184,24472
185,24292
186,24472
187,24618
188,24468
189,24618
190,24900
191,24472
192,24775
193,24923
194,24379
195,24472
196,24472
197,24374
198,24472
199,24472
200,24249
201,24357
202,24146
203,24023
204,24249
205,24923
