Time,sun.reflect.generics.tree.SimpleClassTypeSignature Data
0,19279
1,29687
2,29358
3,29664
4,29687
5,29216
6,29687
7,29687
8,24145
9,24616
10,24475
11,24474
12,24178
13,24639
14,24616
15,24368
16,24639
17,24475
18,24168
19,24616
20,24145
21,24542
22,24639
23,24455
24,24639
25,24780
26,24757
27,24168
28,24178
29,24390
30,24168
31,24639
32,24145
33,24314
34,24616
35,24639
36,24639
37,24639
38,24168
39,24168
40,25008
41,24455
42,24396
43,24311
44,24145
45,24168
46,24785
47,24178
48,24785
49,24639
50,24168
51,24639
52,24475
53,24475
54,24309
55,24780
56,24616
57,24537
58,24168
59,24168
60,24639
61,24527
62,24455
63,24639
64,24616
65,24475
66,24308
67,24168
68,24616
69,24455
70,24168
71,24616
72,24945
73,24639
74,24267
75,24494
76,24538
77,24635
78,24942
79,24635
80,24164
81,24471
82,24164
83,24533
84,24635
85,24451
86,24485
87,24649
88,24406
89,24626
90,24649
91,24188
92,24406
93,24625
94,24485
95,24178
96,25097
97,25120
98,24616
99,24639
100,24639
101,24168
102,25008
103,24872
104,24396
105,24311
106,24168
107,24616
108,24475
109,24455
110,24616
111,24615
112,24455
113,24639
114,24616
115,24309
116,25087
117,24455
118,25110
119,24867
120,24168
121,25008
122,24946
123,24470
124,25110
125,24780
126,25087
127,24639
128,24475
129,24639
130,24168
131,24926
132,25087
133,24639
134,25087
135,24309
136,24785
137,24475
138,24940
139,24979
140,24639
141,25110
142,24168
143,24649
144,24979
145,24455
146,25087
147,24498
148,24639
149,25110
150,24639
151,24639
152,25110
153,24639
154,24639
155,25110
156,24508
157,24475
158,24168
159,24639
160,24475
161,24945
162,25112
163,24168
164,24475
165,24782
166,24780
167,25053
168,24314
169,24561
170,24168
171,24494
172,24926
173,24639
174,24946
175,25256
176,25110
177,24314
178,24639
179,24474
180,24639
181,24945
182,24168
183,24455
184,24639
185,24455
186,24639
187,24785
188,24635
189,24785
190,25087
191,24639
192,24946
193,25110
194,24542
195,24639
196,24639
197,24537
198,24639
199,24639
200,24396
201,24508
202,24309
203,24170
204,24396
205,25110
