Time,sun.reflect.generics.visitor.Reifier Data
0,353
1,353
2,353
3,353
4,353
5,353
6,218
7,217
8,353
9,353
10,353
11,218
12,353
13,298
14,353
15,234
16,353
17,488
18,488
19,155
20,353
21,353
22,353
23,353
24,353
25,646
26,234
27,158
28,138
29,452
30,452
31,353
32,353
33,218
34,218
35,488
36,353
37,293
38,353
39,274
40,234
41,353
42,353
43,218
44,96
45,353
46,234
47,353
48,570
49,353
50,218
51,293
52,353
53,571
54,353
55,218
56,293
57,353
58,234
59,218
60,353
61,353
62,353
63,352
64,218
65,706
66,706
67,353
68,353
69,353
70,646
71,511
72,353
73,218
74,234
75,353
76,352
77,234
78,353
79,353
80,706
81,234
82,706
83,511
84,646
85,571
86,234
87,706
88,488
89,706
90,353
91,218
92,353
93,587
94,706
95,353
96,706
97,452
98,218
99,568
100,571
101,353
102,706
103,353
104,571
105,234
106,706
107,218
108,353
109,706
110,353
111,353
112,706
113,353
114,353
115,706
116,218
117,218
118,353
119,218
120,570
121,709
122,218
123,491
124,488
125,671
126,302
127,218
128,587
129,353
130,571
131,805
132,706
133,353
134,217
135,353
136,570
137,234
138,353
139,234
140,353
141,452
142,353
143,452
144,706
145,353
146,571
147,706
148,293
149,353
150,353
151,293
152,353
153,353
154,218
155,158
156,706
